r,control,observed,expected,status
2,generic_dense_randomizer_outside_star,1,>0,PASS
2,remove_0_1,consistent,coverage_contains_consistent_and_inconsistent,PASS
2,remove_0_2,consistent,coverage_contains_consistent_and_inconsistent,PASS
2,remove_1_0,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
2,remove_1_1,consistent,coverage_contains_consistent_and_inconsistent,PASS
2,remove_1_2,consistent,coverage_contains_consistent_and_inconsistent,PASS
2,remove_2_0,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
2,remove_2_1,consistent,coverage_contains_consistent_and_inconsistent,PASS
2,remove_2_2,consistent,coverage_contains_consistent_and_inconsistent,PASS
4,generic_dense_randomizer_outside_star,9,>0,PASS
4,remove_0_1,consistent,coverage_contains_consistent_and_inconsistent,PASS
4,remove_0_2,consistent,coverage_contains_consistent_and_inconsistent,PASS
4,remove_0_3,consistent,coverage_contains_consistent_and_inconsistent,PASS
4,remove_0_4,consistent,coverage_contains_consistent_and_inconsistent,PASS
4,remove_1_0,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
4,remove_1_1,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
4,remove_1_2,consistent,coverage_contains_consistent_and_inconsistent,PASS
4,remove_2_0,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
4,remove_2_2,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
4,remove_2_3,consistent,coverage_contains_consistent_and_inconsistent,PASS
4,remove_3_0,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
4,remove_3_3,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
4,remove_3_4,consistent,coverage_contains_consistent_and_inconsistent,PASS
4,remove_4_0,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
4,remove_4_1,consistent,coverage_contains_consistent_and_inconsistent,PASS
4,remove_4_4,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
6,generic_dense_randomizer_outside_star,25,>0,PASS
6,remove_0_1,consistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_0_2,consistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_0_3,consistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_0_4,consistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_0_5,consistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_0_6,consistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_1_0,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_1_1,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_1_2,consistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_2_0,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_2_2,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_2_3,consistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_3_0,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_3_3,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_3_4,consistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_4_0,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_4_4,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_4_5,consistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_5_0,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_5_5,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_5_6,consistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_6_0,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_6_1,consistent,coverage_contains_consistent_and_inconsistent,PASS
6,remove_6_6,inconsistent,coverage_contains_consistent_and_inconsistent,PASS
