r,q,control,image_map,witness_pattern,observed_rank,expected_rank,observed_possible,expected_possible,status
2,1,standard_support_full_rank_image,phi(f)=f(1)_mod_2,phi(E)=[I_r;0],2,2,no,no,PASS
2,1,constructed_low_rank_image,phi(f)=f(1)_mod_2,rank_q_control,1,1,yes,yes,PASS
4,1,standard_support_full_rank_image,phi(f)=f(1)_mod_2,phi(E)=[I_r;0],4,4,no,no,PASS
4,1,constructed_low_rank_image,phi(f)=f(1)_mod_2,rank_q_control,1,1,yes,yes,PASS
4,2,standard_support_full_rank_image,phi(f)=f(1)_mod_2,phi(E)=[I_r;0],4,4,no,no,PASS
4,2,constructed_low_rank_image,phi(f)=f(1)_mod_2,rank_q_control,2,2,yes,yes,PASS
4,3,standard_support_full_rank_image,phi(f)=f(1)_mod_2,phi(E)=[I_r;0],4,4,no,no,PASS
4,3,constructed_low_rank_image,phi(f)=f(1)_mod_2,rank_q_control,3,3,yes,yes,PASS
6,1,standard_support_full_rank_image,phi(f)=f(1)_mod_2,phi(E)=[I_r;0],6,6,no,no,PASS
6,1,constructed_low_rank_image,phi(f)=f(1)_mod_2,rank_q_control,1,1,yes,yes,PASS
6,2,standard_support_full_rank_image,phi(f)=f(1)_mod_2,phi(E)=[I_r;0],6,6,no,no,PASS
6,2,constructed_low_rank_image,phi(f)=f(1)_mod_2,rank_q_control,2,2,yes,yes,PASS
6,3,standard_support_full_rank_image,phi(f)=f(1)_mod_2,phi(E)=[I_r;0],6,6,no,no,PASS
6,3,constructed_low_rank_image,phi(f)=f(1)_mod_2,rank_q_control,3,3,yes,yes,PASS
6,4,standard_support_full_rank_image,phi(f)=f(1)_mod_2,phi(E)=[I_r;0],6,6,no,no,PASS
6,4,constructed_low_rank_image,phi(f)=f(1)_mod_2,rank_q_control,4,4,yes,yes,PASS
6,5,standard_support_full_rank_image,phi(f)=f(1)_mod_2,phi(E)=[I_r;0],6,6,no,no,PASS
6,5,constructed_low_rank_image,phi(f)=f(1)_mod_2,rank_q_control,5,5,yes,yes,PASS
