N,schedule_case,basis_index,operation,accumulator_index,selector_bit,gamma_count,matrix_rank,expected_hash,actual_hash,status
8,binary_all_zero,0,final_bind,final,0,2,1,e81775a6fb9e9cb96a5d4e9344139ae2cfe1d5d3c809aacf0b3ca1114e3e3c39,e81775a6fb9e9cb96a5d4e9344139ae2cfe1d5d3c809aacf0b3ca1114e3e3c39,PASS
8,binary_all_zero,1,final_bind,final,0,2,1,f6fca16dbbb9f6715997a2b5c088ac319c2ae68da294aa95e169ddc9b1e17680,f6fca16dbbb9f6715997a2b5c088ac319c2ae68da294aa95e169ddc9b1e17680,PASS
8,binary_all_zero,2,final_bind,final,0,2,1,296407768aa31b598b031325e67295ccae7d5b9b5e155769a9f2eb79f33a2829,296407768aa31b598b031325e67295ccae7d5b9b5e155769a9f2eb79f33a2829,PASS
8,binary_all_zero,3,final_bind,final,0,2,1,8d5f8cff8585c8fa6d9e04f83efcbc29204ca97ee6fdc34ba85332e8961c02a1,8d5f8cff8585c8fa6d9e04f83efcbc29204ca97ee6fdc34ba85332e8961c02a1,PASS
8,binary_all_zero,4,final_bind,final,0,2,1,9cc0dfee0a7b2dc6be81a2382b0d8e42e931a394466b5855a4a5db58a0bc02ac,9cc0dfee0a7b2dc6be81a2382b0d8e42e931a394466b5855a4a5db58a0bc02ac,PASS
8,binary_all_zero,5,final_bind,final,0,2,1,72e0b9a1cff14e8d46c32851f1364ffef235add0ea1d896c726ff0bfa39d9fb6,72e0b9a1cff14e8d46c32851f1364ffef235add0ea1d896c726ff0bfa39d9fb6,PASS
8,binary_all_zero,6,final_bind,final,0,2,1,9c4a6458501acddd1eb56102b1410f70840d6e9bdb9c0c792384f816da0d864f,9c4a6458501acddd1eb56102b1410f70840d6e9bdb9c0c792384f816da0d864f,PASS
8,binary_all_zero,7,final_bind,final,0,2,1,a09bddd5cc2d91b6911d8635b4ebbf465c3c19bcfbb3762ee15074d233b48aff,a09bddd5cc2d91b6911d8635b4ebbf465c3c19bcfbb3762ee15074d233b48aff,PASS
8,binary_all_one,0,final_bind,final,1,2,2,48dd901767f7f5cdb4b544d95f2b5901c91ea113837cb0f4ee6233cac9aa3e8a,48dd901767f7f5cdb4b544d95f2b5901c91ea113837cb0f4ee6233cac9aa3e8a,PASS
8,binary_all_one,1,final_bind,final,1,2,2,3d4ddf96ae7740cbd07c2225fa5d6b81cadc37e480fa70499d987dc8c09c7b2a,3d4ddf96ae7740cbd07c2225fa5d6b81cadc37e480fa70499d987dc8c09c7b2a,PASS
8,binary_all_one,2,final_bind,final,1,2,2,36d376b3a84143109cdd3a2c0683bc127a6600daafa1500d9a3dc93c105dbbb0,36d376b3a84143109cdd3a2c0683bc127a6600daafa1500d9a3dc93c105dbbb0,PASS
8,binary_all_one,3,final_bind,final,1,2,2,a3a67521eb3f4135e470ec825f7b0ba98380f0d1155e2ff069274816bc5da87e,a3a67521eb3f4135e470ec825f7b0ba98380f0d1155e2ff069274816bc5da87e,PASS
8,binary_all_one,4,final_bind,final,1,2,2,5e04ad96eef0e86cec631084d295e7169eb46a6d47f42528f042375dfa399cf2,5e04ad96eef0e86cec631084d295e7169eb46a6d47f42528f042375dfa399cf2,PASS
8,binary_all_one,5,final_bind,final,1,2,2,b293cc134cb0b4d2ff3ae9099e36877316c4bcc865792b336991ba95fa730de9,b293cc134cb0b4d2ff3ae9099e36877316c4bcc865792b336991ba95fa730de9,PASS
8,binary_all_one,6,final_bind,final,1,2,2,ae6654c7f7574c0cedc09de64ee7bd874d9f5bac5702b5f0d2b20345903ab797,ae6654c7f7574c0cedc09de64ee7bd874d9f5bac5702b5f0d2b20345903ab797,PASS
8,binary_all_one,7,final_bind,final,1,2,2,628b844a668efcc04f6ff9a9ffe7e5ddb8aceb70c95103d443b735b0e4f6a386,628b844a668efcc04f6ff9a9ffe7e5ddb8aceb70c95103d443b735b0e4f6a386,PASS
8,binary_alternating,0,final_bind,final,mixed,2,2,0a7c4b804bf7befe7bdf221e93112a0cc1456cf3c5699f99002d346c66cee8d4,0a7c4b804bf7befe7bdf221e93112a0cc1456cf3c5699f99002d346c66cee8d4,PASS
8,binary_alternating,1,final_bind,final,mixed,2,2,0ac463995a1a75baa92140831941e81e8332cf65c27cea5754f6730fcce32bec,0ac463995a1a75baa92140831941e81e8332cf65c27cea5754f6730fcce32bec,PASS
8,binary_alternating,2,final_bind,final,mixed,2,2,08be22084c7527b13812af23e273789b0cec9b91e02937ef394bdd57576ebc94,08be22084c7527b13812af23e273789b0cec9b91e02937ef394bdd57576ebc94,PASS
8,binary_alternating,3,final_bind,final,mixed,2,2,38a32eaf8b1a832619bb1889a88491981f43d102e664cc126b38a32348ac1db8,38a32eaf8b1a832619bb1889a88491981f43d102e664cc126b38a32348ac1db8,PASS
8,binary_alternating,4,final_bind,final,mixed,2,2,56b3939085f486d6d97473d3b7f62b0eac8028c9595f350d67f7daa0db8b24c7,56b3939085f486d6d97473d3b7f62b0eac8028c9595f350d67f7daa0db8b24c7,PASS
8,binary_alternating,5,final_bind,final,mixed,2,2,2571b5b2925a71baa916d3d4321aa928e76b605f45cdf63863dca96f6bfd872f,2571b5b2925a71baa916d3d4321aa928e76b605f45cdf63863dca96f6bfd872f,PASS
8,binary_alternating,6,final_bind,final,mixed,2,2,5f8c5f433da7e5ab959b3647cf97509eb77f420aeff7e0e195c548534b1b3ab9,5f8c5f433da7e5ab959b3647cf97509eb77f420aeff7e0e195c548534b1b3ab9,PASS
8,binary_alternating,7,final_bind,final,mixed,2,2,277b7aebb63b82ecb4c7cc7408028dbfd9448f2dff6f97d36a53934ebc5b4e77,277b7aebb63b82ecb4c7cc7408028dbfd9448f2dff6f97d36a53934ebc5b4e77,PASS
8,binary_one_hot_0,0,final_bind,final,mixed,2,2,a41252603cab4081c7d960f5cba1214676d49827b79280d22309c9f8607a7133,a41252603cab4081c7d960f5cba1214676d49827b79280d22309c9f8607a7133,PASS
8,binary_one_hot_0,1,final_bind,final,mixed,2,2,24081c80cddccf916b2dfaaf18f3da124eb80bfa1fb052351f00608aeac54309,24081c80cddccf916b2dfaaf18f3da124eb80bfa1fb052351f00608aeac54309,PASS
8,binary_one_hot_0,2,final_bind,final,mixed,2,2,6e249bf3b50c4143a6cf118074e8abd95324c2846ccd241d597ae666a1e79788,6e249bf3b50c4143a6cf118074e8abd95324c2846ccd241d597ae666a1e79788,PASS
8,binary_one_hot_0,3,final_bind,final,mixed,2,2,d01942577fdd5b2536e1151f5d00450d03b133abe901d5a68b3ac3e96c5d76fd,d01942577fdd5b2536e1151f5d00450d03b133abe901d5a68b3ac3e96c5d76fd,PASS
8,binary_one_hot_0,4,final_bind,final,mixed,2,2,5a552ba5cdf1f145c49c504103e912798e670aa95d75bc860e4aa683793c1c3e,5a552ba5cdf1f145c49c504103e912798e670aa95d75bc860e4aa683793c1c3e,PASS
8,binary_one_hot_0,5,final_bind,final,mixed,2,2,5d7ca1b3d687b48a8daa88118b3920c334499aa041456a34c865dc76096e9372,5d7ca1b3d687b48a8daa88118b3920c334499aa041456a34c865dc76096e9372,PASS
8,binary_one_hot_0,6,final_bind,final,mixed,2,2,20dc081cef031fd1918fc609df35ca95bab3605f97211525b52a132fd1b636b3,20dc081cef031fd1918fc609df35ca95bab3605f97211525b52a132fd1b636b3,PASS
8,binary_one_hot_0,7,final_bind,final,mixed,2,2,59f09cb8248cc42ba5724e2f350f8e2780a060f369931fda8d6886dc18567811,59f09cb8248cc42ba5724e2f350f8e2780a060f369931fda8d6886dc18567811,PASS
