review_item,page,score,matched_terms,section_hint
FAB_PROTOCOL_STAGES,4,4,extraction; key switching,4 Antonio Guimarães and Hilder V. L. Pereira; 2 76.27MB 9.8ms 9.8ms; 8 3.25GB 1.1s 1.1s; 2 17.1MB 8.2s 4.0ms
FAB_PROTOCOL_STAGES,5,5,Algorithm 1; MPmul; external product,1.2 Overview of our contributions and techniques
FAB_PROTOCOL_STAGES,6,12,MPmul; external product,6 Antonio Guimarães and Hilder V. L. Pereira
FAB_PROTOCOL_STAGES,7,1,extraction,2 Preliminaries
FAB_PROTOCOL_STAGES,10,4,test vectors; external product; extraction,10 Antonio Guimarães and Hilder V. L. Pereira; 2 2 2; 2 2; 2.2 Test vectors and extraction
FAB_PROTOCOL_STAGES,11,6,Algorithm 1; MPmul; external product; CMUX,"0 1 L; 0 ≤ i ≤ L, where L is any upper bound on the number of bits of v (for instance,; 2 + N log 2 2"
FAB_PROTOCOL_STAGES,12,5,Algorithm 1; MPmul,12 Antonio Guimarães and Hilder V. L. Pereira; Algorithm 1: Monomial-times-polynomial multiplication (MPmul); 1 for 0 ≤ i ≤ log B − 1 do; 2 for 0 ≤ j < 2i do 
FAB_PROTOCOL_STAGES,13,15,Algorithm 2; MPmul; test vectors,"Algorithm 2: Subtract a·s when s is a binary sparse secret (bin-SAB); 0 ≤ i ≤ h, 0 ≤ j < log B, where log j=0; 1 Let c := (c0 , ..., cn−1 ) where ci = FHE.MultPtxt(ti , X i ); 2 for 0 ≤ i ≤ h − 1 do"
FAB_PROTOCOL_STAGES,14,9,Algorithm 3; MPmul; external product; CMUX,14 Antonio Guimarães and Hilder V. L. Pereira; 4.2 Bootstrapping with ternary secrets
FAB_PROTOCOL_STAGES,15,11,Algorithm 2; Algorithm 3; MPmul; test vectors; external product; sparse amortized bootstrapping,"Algorithm 3: Ternary Sparse Amortized Bootstrapping (tern-SAB); 0 ≤ i ≤ h, 0 ≤ j < log B, where log j=0; 1 Let c := (c0 , ..., cn−1 ) where ci = FHE.MultPtxt(ti , X i ); 2 for 0 ≤ i ≤ h − 1 do"
FAB_PROTOCOL_STAGES,16,10,Algorithm 4; MPmul; external product,16 Antonio Guimarães and Hilder V. L. Pereira; 2 + Nℓ; 2 + Nℓ; 4.3 Bootstrapping with general sparse secrets
FAB_PROTOCOL_STAGES,17,9,Algorithm 4; MPmul; test vectors; external product; sparse amortized bootstrapping,"Algorithm 4: General Sparse Amortized Bootstrapping (ρ-SAB); 0 ≤ i ≤ h, 0 ≤ j < log B, where log B−1; 1 Let c := (c0 , ..., cn−1 ) where ci = FHE.MultPtxt(ti , X i ); 2 for 0 ≤ i ≤ h − 1 do"
FAB_PROTOCOL_STAGES,18,8,CMUX; key switching,18 Antonio Guimarães and Hilder V. L. Pereira; 5 Packing Key Switching
FAB_PROTOCOL_STAGES,19,3,CMUX; key switching,"Algorithm 5: Packing key switching for sparse secrets; 1 . Output: a ciphertext c ∈ Rq LWEs′ ( i=0 mi ); 2 f : Zq 7→ Rq , given by f (x0 , ..., xn−1 ) 7→ i=0 xi X; 3 c ← (0, f ([bi ]i=0,...,n−1 ))"
FAB_PROTOCOL_STAGES,20,5,Algorithm 6; test vectors; key switching,"20 Antonio Guimarães and Hilder V. L. Pereira; 6 Our amortized functional bootstrapping; Algorithm 6: Amortized functional bootstrapping; 1 For each fi , define a test vector ti ∈ R"
FAB_PROTOCOL_STAGES,21,8,Algorithm 6; external product; extraction,"Lemma 6.1 (Noise overhead of amortized functional bootstrapping).; Corollary 6.2. Assuming β, βksk , EG , Eksk ∈ O(1), Algorithm 6 has amortized; 6.1 The choice of the parameter B and efficiency"
FAB_PROTOCOL_STAGES,22,3,external product; key switching,22 Antonio Guimarães and Hilder V. L. Pereira; 6.2 The choice of the parameter B and security; 7 Practical results; 7.1 Parameter selection
FAB_PROTOCOL_STAGES,23,3,key switching,"6 bits) and large (8 bits) messages, respectively. The keys for automorphisms"
FAB_PROTOCOL_STAGES,25,2,key switching; sparse amortized bootstrapping,7.2 Main results
FAB_PROTOCOL_STAGES,26,2,MPmul; key switching,26 Antonio Guimarães and Hilder V. L. Pereira; 1 9.8ms 9.8ms 1.0; 2 13.6ms 6.8ms 1.4; 2048 8.2s 4.01ms 2.5
FAB_PROTOCOL_STAGES,27,6,Algorithm 4; CMUX; key switching; sparse amortized bootstrapping,7.3 Results for arbitrary sparse secrets; 4096 RPC2 +FBS1 84.00MB 4 2−73 23.71s 5.79ms; 8192 RPC3 +FBS1 86.00MB 4 2−73 51.37s 6.27ms; 4096 RPC2 +FBS2 1.08GB 6 2−72 169.02s 41.26ms
FAB_PROTOCOL_STAGES,32,2,key switching,32 Antonio Guimarães and Hilder V. L. Pereira; Algorithm 7: Sparse packing key switching - key generation; 1 V ← {0}; C ← {0}; 2 for j ← 0 to N/B do
FAB_PROTOCOL_STAGES,33,5,external product; CMUX; key switching,2 β 2 2 1 q 2; 2 12 β ℓA; 2 β 2 1 q; 2 12 β ℓA
FAB_COMPLEXITY_MODEL,1,2,complexity; N h,1 Introduction
FAB_COMPLEXITY_MODEL,2,1,complexity,2 Antonio Guimarães and Hilder V. L. Pereira
FAB_COMPLEXITY_MODEL,3,3,complexity; N h,1.1 Overview of existing amortized bootstrapping algorithms
FAB_COMPLEXITY_MODEL,4,1,complexity,4 Antonio Guimarães and Hilder V. L. Pereira; 2 76.27MB 9.8ms 9.8ms; 8 3.25GB 1.1s 1.1s; 2 17.1MB 8.2s 4.0ms
FAB_COMPLEXITY_MODEL,5,4,N h; external product,1.2 Overview of our contributions and techniques
FAB_COMPLEXITY_MODEL,6,5,complexity; external product,6 Antonio Guimarães and Hilder V. L. Pereira
FAB_COMPLEXITY_MODEL,9,2,N h,2.1 LWE and RLWE encryption schemes; 0 1 ℓ−1
FAB_COMPLEXITY_MODEL,10,2,external product,10 Antonio Guimarães and Hilder V. L. Pereira; 2 2 2; 2 2; 2.2 Test vectors and extraction
