layout,r,N,acc_polys,selector_polys,scratch_torus_polys,scratch_dft_polys,product_terms,requested_bytes,rss_kb,touch_us
current,2,2048,3,9,3,3,9,295200,1632,117
lane_local,2,2048,4,10,5,5,5,393600,1676,256
current,4,2048,5,25,5,5,25,656000,1936,623
lane_local,4,2048,8,18,9,9,9,721600,1928,292
current,6,2048,7,49,7,7,49,1148000,2456,360
lane_local,6,2048,12,26,13,13,13,1049600,2316,348
current,8,2048,9,81,9,9,81,1771200,2992,557
lane_local,8,2048,16,34,17,17,17,1377600,2708,509
current,2,4096,3,9,3,3,9,590112,1940,174
lane_local,2,4096,4,10,5,5,5,786816,2212,230
current,4,4096,5,25,5,5,25,1311360,2744,446
lane_local,4,4096,8,18,9,9,9,1442496,2744,601
current,6,4096,7,49,7,7,49,2294880,3484,772
lane_local,6,4096,12,26,13,13,13,2098176,3664,714
current,8,4096,9,81,9,9,81,3540672,4624,1314
lane_local,8,4096,16,34,17,17,17,2753856,4048,891
