r,N,seed,mismatches_noiseless,max_abs_error_noiseless,max_abs_noise,max_noise_bound,noise_bound_violations,requested_bytes,rss_kb,status
2,32,0,0,0,6,6,0,6560,1004,PASS_REAL_STRUCT_PHASE_NOISE
2,32,1,0,0,6,6,0,6560,1004,PASS_REAL_STRUCT_PHASE_NOISE
2,32,2,0,0,6,6,0,6560,1004,PASS_REAL_STRUCT_PHASE_NOISE
2,32,3,0,0,6,6,0,6560,1004,PASS_REAL_STRUCT_PHASE_NOISE
2,32,4,0,0,6,6,0,6560,1004,PASS_REAL_STRUCT_PHASE_NOISE
2,64,0,0,0,6,6,0,12704,1004,PASS_REAL_STRUCT_PHASE_NOISE
2,64,1,0,0,6,6,0,12704,1004,PASS_REAL_STRUCT_PHASE_NOISE
2,64,2,0,0,6,6,0,12704,1004,PASS_REAL_STRUCT_PHASE_NOISE
2,64,3,0,0,6,6,0,12704,1004,PASS_REAL_STRUCT_PHASE_NOISE
2,64,4,0,0,6,6,0,12704,1004,PASS_REAL_STRUCT_PHASE_NOISE
4,32,0,0,0,6,6,0,12000,1004,PASS_REAL_STRUCT_PHASE_NOISE
4,32,1,0,0,6,6,0,12000,1004,PASS_REAL_STRUCT_PHASE_NOISE
4,32,2,0,0,6,6,0,12000,1004,PASS_REAL_STRUCT_PHASE_NOISE
4,32,3,0,0,6,6,0,12000,1004,PASS_REAL_STRUCT_PHASE_NOISE
4,32,4,0,0,6,6,0,12000,1004,PASS_REAL_STRUCT_PHASE_NOISE
4,64,0,0,0,6,6,0,23264,1004,PASS_REAL_STRUCT_PHASE_NOISE
4,64,1,0,0,6,6,0,23264,1004,PASS_REAL_STRUCT_PHASE_NOISE
4,64,2,0,0,6,6,0,23264,1004,PASS_REAL_STRUCT_PHASE_NOISE
4,64,3,0,0,6,6,0,23264,1004,PASS_REAL_STRUCT_PHASE_NOISE
4,64,4,0,0,6,6,0,23264,1004,PASS_REAL_STRUCT_PHASE_NOISE
6,32,0,0,0,6,6,0,17440,1004,PASS_REAL_STRUCT_PHASE_NOISE
6,32,1,0,0,6,6,0,17440,1004,PASS_REAL_STRUCT_PHASE_NOISE
6,32,2,0,0,6,6,0,17440,1004,PASS_REAL_STRUCT_PHASE_NOISE
6,32,3,0,0,6,6,0,17440,1004,PASS_REAL_STRUCT_PHASE_NOISE
6,32,4,0,0,6,6,0,17440,1004,PASS_REAL_STRUCT_PHASE_NOISE
6,64,0,0,0,6,6,0,33824,1004,PASS_REAL_STRUCT_PHASE_NOISE
6,64,1,0,0,6,6,0,33824,1004,PASS_REAL_STRUCT_PHASE_NOISE
6,64,2,0,0,6,6,0,33824,1004,PASS_REAL_STRUCT_PHASE_NOISE
6,64,3,0,0,6,6,0,33824,1004,PASS_REAL_STRUCT_PHASE_NOISE
6,64,4,0,0,6,6,0,33824,1004,PASS_REAL_STRUCT_PHASE_NOISE
