backend,r,N,T,Bg_bit,seed,dft_mismatches,max_dft_gap,tolerance,closed_input_dft_conversions,closed_lower_bound,lower_bound_status,status
spqlios,2,512,1,23,0,0,0.000000000,0.000000000,3,3,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
spqlios,4,512,1,23,0,0,0.000000000,0.000000000,5,5,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
spqlios,6,512,1,23,0,0,0.000000000,0.000000000,7,7,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
spqlios,2,1024,1,23,0,0,0.000000000,0.000000000,3,3,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
spqlios,4,1024,1,23,0,0,0.000000000,0.000000000,5,5,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
spqlios,6,1024,1,23,0,0,0.000000000,0.000000000,7,7,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
spqlios,2,512,7,7,0,0,0.000000000,0.000000000,21,21,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
spqlios,4,512,7,7,0,0,0.000000000,0.000000000,35,35,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
spqlios,6,512,7,7,0,0,0.000000000,0.000000000,49,49,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
spqlios,2,1024,7,7,0,0,0.000000000,0.000000000,21,21,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
spqlios,4,1024,7,7,0,0,0.000000000,0.000000000,35,35,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
spqlios,6,1024,7,7,0,0,0.000000000,0.000000000,49,49,AT_LOWER_BOUND,PASS_CLOSED_FULLMAT_SPLIT_EQUIV
