run,label,r,reps,phase_sum_avg_us,decompose_avg_us,decompose_pct,dft_avg_us,dft_pct,mul_avg_us,mul_pct
0,scalar_repeated,1,1000,6.631,0.755,11.39,4.075,61.45,1.801,27.16
0,mat_shared_mask,1,1000,6.772,0.873,12.89,4.014,59.27,1.885,27.84
0,scalar_repeated,2,1000,15.103,2.269,15.02,8.364,55.38,4.470,29.60
0,mat_shared_mask,2,1000,12.673,1.650,13.02,6.310,49.79,4.713,37.19
0,scalar_repeated,4,1000,30.871,4.695,15.21,16.449,53.28,9.727,31.51
0,mat_shared_mask,4,1000,25.903,2.864,11.06,10.399,40.15,12.640,48.80
1,scalar_repeated,1,1000,6.645,0.822,12.37,4.041,60.81,1.782,26.82
1,mat_shared_mask,1,1000,6.628,0.791,11.93,4.052,61.13,1.785,26.93
1,scalar_repeated,2,1000,14.809,2.124,14.34,8.175,55.20,4.510,30.45
1,mat_shared_mask,2,1000,12.143,1.553,12.79,6.071,50.00,4.519,37.21
1,scalar_repeated,4,1000,31.200,4.669,14.96,16.609,53.23,9.922,31.80
1,mat_shared_mask,4,1000,26.265,3.125,11.90,10.714,40.79,12.426,47.31
2,scalar_repeated,1,1000,6.939,0.918,13.23,4.111,59.24,1.910,27.53
2,mat_shared_mask,1,1000,7.094,0.839,11.83,4.306,60.70,1.949,27.47
2,scalar_repeated,2,1000,15.436,2.321,15.04,8.432,54.63,4.683,30.34
2,mat_shared_mask,2,1000,13.204,1.671,12.66,6.705,50.78,4.828,36.56
2,scalar_repeated,4,1000,31.731,4.960,15.63,16.980,53.51,9.791,30.86
2,mat_shared_mask,4,1000,26.810,2.990,11.15,10.676,39.82,13.144,49.03
