scope,metric,count,evidence
build/mattrgsw.o+build/polynomial.o,vfmadd,140,repro/stage161_post_fusion_attribution/objdump_full.txt
build/mattrgsw.o+build/polynomial.o,vfnmadd,0,repro/stage161_post_fusion_attribution/objdump_full.txt
build/mattrgsw.o+build/polynomial.o,vfmsub,136,repro/stage161_post_fusion_attribution/objdump_full.txt
build/mattrgsw.o+build/polynomial.o,fma_family,276,repro/stage161_post_fusion_attribution/objdump_full.txt
build/mattrgsw.o+build/polynomial.o,zmm_refs,1409,repro/stage161_post_fusion_attribution/objdump_full.txt
build/mattrgsw.o+build/polynomial.o,ymm_refs,2391,repro/stage161_post_fusion_attribution/objdump_full.txt
build/mattrgsw.o+build/polynomial.o,xmm_refs,450,repro/stage161_post_fusion_attribution/objdump_full.txt
build/mattrgsw.o+build/polynomial.o,vmovapd,383,repro/stage161_post_fusion_attribution/objdump_full.txt
build/mattrgsw.o+build/polynomial.o,vmovupd,64,repro/stage161_post_fusion_attribution/objdump_full.txt
build/mattrgsw.o+build/polynomial.o,vmovsd,68,repro/stage161_post_fusion_attribution/objdump_full.txt
build/mattrgsw.o+build/polynomial.o,vbroadcastsd,1,repro/stage161_post_fusion_attribution/objdump_full.txt
build/mattrgsw.o+build/polynomial.o,vpermpd_or_vperm,0,repro/stage161_post_fusion_attribution/objdump_full.txt
build/mattrgsw.o+build/polynomial.o,vmulpd,56,repro/stage161_post_fusion_attribution/objdump_full.txt
build/mattrgsw.o+build/polynomial.o,vaddpd,16,repro/stage161_post_fusion_attribution/objdump_full.txt
build/mattrgsw.o+build/polynomial.o,vsubpd,16,repro/stage161_post_fusion_attribution/objdump_full.txt
active:mat_trgsw_mul_pvmtmlwe_DFT_k1_l1_rgt4_tiled_avx512,vfmadd,52,repro/stage161_post_fusion_attribution/objdump_full.txt
active:mat_trgsw_mul_pvmtmlwe_DFT_k1_l1_rgt4_tiled_avx512,vfnmadd,0,repro/stage161_post_fusion_attribution/objdump_full.txt
active:mat_trgsw_mul_pvmtmlwe_DFT_k1_l1_rgt4_tiled_avx512,vfmsub,52,repro/stage161_post_fusion_attribution/objdump_full.txt
active:mat_trgsw_mul_pvmtmlwe_DFT_k1_l1_rgt4_tiled_avx512,fma_family,104,repro/stage161_post_fusion_attribution/objdump_full.txt
active:mat_trgsw_mul_pvmtmlwe_DFT_k1_l1_rgt4_tiled_avx512,zmm_refs,494,repro/stage161_post_fusion_attribution/objdump_full.txt
active:mat_trgsw_mul_pvmtmlwe_DFT_k1_l1_rgt4_tiled_avx512,ymm_refs,0,repro/stage161_post_fusion_attribution/objdump_full.txt
active:mat_trgsw_mul_pvmtmlwe_DFT_k1_l1_rgt4_tiled_avx512,xmm_refs,0,repro/stage161_post_fusion_attribution/objdump_full.txt
active:mat_trgsw_mul_pvmtmlwe_DFT_k1_l1_rgt4_tiled_avx512,vmovapd,144,repro/stage161_post_fusion_attribution/objdump_full.txt
active:mat_trgsw_mul_pvmtmlwe_DFT_k1_l1_rgt4_tiled_avx512,vmovupd,0,repro/stage161_post_fusion_attribution/objdump_full.txt
active:mat_trgsw_mul_pvmtmlwe_DFT_k1_l1_rgt4_tiled_avx512,vmovsd,0,repro/stage161_post_fusion_attribution/objdump_full.txt
active:mat_trgsw_mul_pvmtmlwe_DFT_k1_l1_rgt4_tiled_avx512,vbroadcastsd,0,repro/stage161_post_fusion_attribution/objdump_full.txt
active:mat_trgsw_mul_pvmtmlwe_DFT_k1_l1_rgt4_tiled_avx512,vpermpd_or_vperm,0,repro/stage161_post_fusion_attribution/objdump_full.txt
active:mat_trgsw_mul_pvmtmlwe_DFT_k1_l1_rgt4_tiled_avx512,vmulpd,8,repro/stage161_post_fusion_attribution/objdump_full.txt
active:mat_trgsw_mul_pvmtmlwe_DFT_k1_l1_rgt4_tiled_avx512,vaddpd,0,repro/stage161_post_fusion_attribution/objdump_full.txt
active:mat_trgsw_mul_pvmtmlwe_DFT_k1_l1_rgt4_tiled_avx512,vsubpd,0,repro/stage161_post_fusion_attribution/objdump_full.txt
