r,trial,field_prime,matrix_size,mismatches,expected_missing_cross_body_terms,status
2,0,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
2,1,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
2,2,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
2,3,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
2,4,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
2,5,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
2,6,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
2,7,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
2,8,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
2,9,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
2,10,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
2,11,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
2,12,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
2,13,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
2,14,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
2,15,65537,3x3,2,2,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,0,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,1,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,2,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,3,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,4,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,5,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,6,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,7,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,8,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,9,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,10,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,11,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,12,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,13,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,14,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
4,15,65537,5x5,12,12,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,0,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,1,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,2,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,3,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,4,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,5,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,6,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,7,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,8,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,9,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,10,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,11,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,12,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,13,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,14,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
6,15,65537,7x7,30,30,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,0,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,1,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,2,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,3,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,4,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,5,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,6,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,7,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,8,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,9,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,10,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,11,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,12,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,13,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,14,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
8,15,65537,9x9,56,56,COUNTEREXAMPLE_GENERIC_DENSE_NOT_REPRESENTABLE
