r,trial,field_prime,in_N,r_prec,checked_components,structured_mismatches,negative_cross_mismatches,status
2,0,65537,16,4,192,0,1,PASS_PHASE_TOY
2,1,65537,16,4,192,0,1,PASS_PHASE_TOY
2,2,65537,16,4,192,0,1,PASS_PHASE_TOY
2,3,65537,16,4,192,0,1,PASS_PHASE_TOY
2,4,65537,16,4,192,0,1,PASS_PHASE_TOY
2,5,65537,16,4,192,0,1,PASS_PHASE_TOY
2,6,65537,16,4,192,0,1,PASS_PHASE_TOY
2,7,65537,16,4,192,0,1,PASS_PHASE_TOY
2,8,65537,16,4,192,0,1,PASS_PHASE_TOY
2,9,65537,16,4,192,0,1,PASS_PHASE_TOY
2,10,65537,16,4,192,0,1,PASS_PHASE_TOY
2,11,65537,16,4,192,0,1,PASS_PHASE_TOY
2,12,65537,16,4,192,0,1,PASS_PHASE_TOY
2,13,65537,16,4,192,0,1,PASS_PHASE_TOY
2,14,65537,16,4,192,0,1,PASS_PHASE_TOY
2,15,65537,16,4,192,0,1,PASS_PHASE_TOY
2,16,65537,16,4,192,0,1,PASS_PHASE_TOY
2,17,65537,16,4,192,0,1,PASS_PHASE_TOY
2,18,65537,16,4,192,0,1,PASS_PHASE_TOY
2,19,65537,16,4,192,0,1,PASS_PHASE_TOY
2,20,65537,16,4,192,0,1,PASS_PHASE_TOY
2,21,65537,16,4,192,0,1,PASS_PHASE_TOY
2,22,65537,16,4,192,0,1,PASS_PHASE_TOY
2,23,65537,16,4,192,0,1,PASS_PHASE_TOY
2,24,65537,16,4,192,0,1,PASS_PHASE_TOY
2,25,65537,16,4,192,0,1,PASS_PHASE_TOY
2,26,65537,16,4,192,0,1,PASS_PHASE_TOY
2,27,65537,16,4,192,0,1,PASS_PHASE_TOY
2,28,65537,16,4,192,0,1,PASS_PHASE_TOY
2,29,65537,16,4,192,0,1,PASS_PHASE_TOY
2,30,65537,16,4,192,0,1,PASS_PHASE_TOY
2,31,65537,16,4,192,0,1,PASS_PHASE_TOY
2,32,65537,16,4,192,0,1,PASS_PHASE_TOY
2,33,65537,16,4,192,0,1,PASS_PHASE_TOY
2,34,65537,16,4,192,0,1,PASS_PHASE_TOY
2,35,65537,16,4,192,0,1,PASS_PHASE_TOY
2,36,65537,16,4,192,0,1,PASS_PHASE_TOY
2,37,65537,16,4,192,0,1,PASS_PHASE_TOY
2,38,65537,16,4,192,0,1,PASS_PHASE_TOY
2,39,65537,16,4,192,0,1,PASS_PHASE_TOY
2,40,65537,16,4,192,0,1,PASS_PHASE_TOY
2,41,65537,16,4,192,0,1,PASS_PHASE_TOY
2,42,65537,16,4,192,0,1,PASS_PHASE_TOY
2,43,65537,16,4,192,0,1,PASS_PHASE_TOY
2,44,65537,16,4,192,0,1,PASS_PHASE_TOY
2,45,65537,16,4,192,0,1,PASS_PHASE_TOY
2,46,65537,16,4,192,0,1,PASS_PHASE_TOY
2,47,65537,16,4,192,0,1,PASS_PHASE_TOY
2,48,65537,16,4,192,0,1,PASS_PHASE_TOY
2,49,65537,16,4,192,0,1,PASS_PHASE_TOY
2,50,65537,16,4,192,0,1,PASS_PHASE_TOY
2,51,65537,16,4,192,0,1,PASS_PHASE_TOY
2,52,65537,16,4,192,0,1,PASS_PHASE_TOY
2,53,65537,16,4,192,0,1,PASS_PHASE_TOY
2,54,65537,16,4,192,0,1,PASS_PHASE_TOY
2,55,65537,16,4,192,0,1,PASS_PHASE_TOY
2,56,65537,16,4,192,0,1,PASS_PHASE_TOY
2,57,65537,16,4,192,0,1,PASS_PHASE_TOY
2,58,65537,16,4,192,0,1,PASS_PHASE_TOY
2,59,65537,16,4,192,0,1,PASS_PHASE_TOY
2,60,65537,16,4,192,0,1,PASS_PHASE_TOY
2,61,65537,16,4,192,0,1,PASS_PHASE_TOY
2,62,65537,16,4,192,0,1,PASS_PHASE_TOY
2,63,65537,16,4,192,0,1,PASS_PHASE_TOY
4,0,65537,16,4,320,0,1,PASS_PHASE_TOY
4,1,65537,16,4,320,0,1,PASS_PHASE_TOY
4,2,65537,16,4,320,0,1,PASS_PHASE_TOY
4,3,65537,16,4,320,0,1,PASS_PHASE_TOY
4,4,65537,16,4,320,0,1,PASS_PHASE_TOY
4,5,65537,16,4,320,0,1,PASS_PHASE_TOY
4,6,65537,16,4,320,0,1,PASS_PHASE_TOY
4,7,65537,16,4,320,0,1,PASS_PHASE_TOY
4,8,65537,16,4,320,0,1,PASS_PHASE_TOY
4,9,65537,16,4,320,0,1,PASS_PHASE_TOY
4,10,65537,16,4,320,0,1,PASS_PHASE_TOY
4,11,65537,16,4,320,0,1,PASS_PHASE_TOY
4,12,65537,16,4,320,0,1,PASS_PHASE_TOY
4,13,65537,16,4,320,0,1,PASS_PHASE_TOY
4,14,65537,16,4,320,0,1,PASS_PHASE_TOY
4,15,65537,16,4,320,0,1,PASS_PHASE_TOY
4,16,65537,16,4,320,0,1,PASS_PHASE_TOY
4,17,65537,16,4,320,0,1,PASS_PHASE_TOY
4,18,65537,16,4,320,0,1,PASS_PHASE_TOY
4,19,65537,16,4,320,0,1,PASS_PHASE_TOY
4,20,65537,16,4,320,0,1,PASS_PHASE_TOY
4,21,65537,16,4,320,0,1,PASS_PHASE_TOY
4,22,65537,16,4,320,0,1,PASS_PHASE_TOY
4,23,65537,16,4,320,0,1,PASS_PHASE_TOY
4,24,65537,16,4,320,0,1,PASS_PHASE_TOY
4,25,65537,16,4,320,0,1,PASS_PHASE_TOY
4,26,65537,16,4,320,0,1,PASS_PHASE_TOY
4,27,65537,16,4,320,0,1,PASS_PHASE_TOY
4,28,65537,16,4,320,0,1,PASS_PHASE_TOY
4,29,65537,16,4,320,0,1,PASS_PHASE_TOY
4,30,65537,16,4,320,0,1,PASS_PHASE_TOY
4,31,65537,16,4,320,0,1,PASS_PHASE_TOY
4,32,65537,16,4,320,0,1,PASS_PHASE_TOY
