build,variant,metric,value,unit,evidence
baseline,sub_decompose,cycles,197977736,count,repro/stage181_sub_decomp_avx512_gate/run_baseline_sub_decompose.log
baseline,sub_decompose,instructions,261514218,count,repro/stage181_sub_decomp_avx512_gate/run_baseline_sub_decompose.log
baseline,sub_decompose,cache-references,5373644,count,repro/stage181_sub_decomp_avx512_gate/run_baseline_sub_decompose.log
baseline,sub_decompose,cache-misses,1288979,count,repro/stage181_sub_decomp_avx512_gate/run_baseline_sub_decompose.log
baseline,sub_decompose,mem_inst_retired.all_loads,32236983,count,repro/stage181_sub_decomp_avx512_gate/run_baseline_sub_decompose.log
baseline,sub_decompose,mem_inst_retired.all_stores,27360188,count,repro/stage181_sub_decomp_avx512_gate/run_baseline_sub_decompose.log
baseline,sub_decompose,fp_arith_inst_retired.512b_packed_double,8002395,count,repro/stage181_sub_decomp_avx512_gate/run_baseline_sub_decompose.log
baseline,combined_current,cycles,472704618,count,repro/stage181_sub_decomp_avx512_gate/run_baseline_combined_current.log
baseline,combined_current,instructions,624735078,count,repro/stage181_sub_decomp_avx512_gate/run_baseline_combined_current.log
baseline,combined_current,cache-references,21524774,count,repro/stage181_sub_decomp_avx512_gate/run_baseline_combined_current.log
baseline,combined_current,cache-misses,2300121,count,repro/stage181_sub_decomp_avx512_gate/run_baseline_combined_current.log
baseline,combined_current,mem_inst_retired.all_loads,125999207,count,repro/stage181_sub_decomp_avx512_gate/run_baseline_combined_current.log
baseline,combined_current,mem_inst_retired.all_stores,68868933,count,repro/stage181_sub_decomp_avx512_gate/run_baseline_combined_current.log
baseline,combined_current,fp_arith_inst_retired.512b_packed_double,125532853,count,repro/stage181_sub_decomp_avx512_gate/run_baseline_combined_current.log
avx512_sub_decomp,sub_decompose,cycles,223503056,count,repro/stage181_sub_decomp_avx512_gate/run_avx512_sub_decomp_sub_decompose.log
avx512_sub_decomp,sub_decompose,instructions,249190350,count,repro/stage181_sub_decomp_avx512_gate/run_avx512_sub_decomp_sub_decompose.log
avx512_sub_decomp,sub_decompose,cache-references,5659318,count,repro/stage181_sub_decomp_avx512_gate/run_avx512_sub_decomp_sub_decompose.log
avx512_sub_decomp,sub_decompose,cache-misses,1361242,count,repro/stage181_sub_decomp_avx512_gate/run_avx512_sub_decomp_sub_decompose.log
avx512_sub_decomp,sub_decompose,mem_inst_retired.all_loads,35080381,count,repro/stage181_sub_decomp_avx512_gate/run_avx512_sub_decomp_sub_decompose.log
avx512_sub_decomp,sub_decompose,mem_inst_retired.all_stores,25015689,count,repro/stage181_sub_decomp_avx512_gate/run_avx512_sub_decomp_sub_decompose.log
avx512_sub_decomp,sub_decompose,fp_arith_inst_retired.512b_packed_double,7996208,count,repro/stage181_sub_decomp_avx512_gate/run_avx512_sub_decomp_sub_decompose.log
avx512_sub_decomp,combined_current,cycles,490494770,count,repro/stage181_sub_decomp_avx512_gate/run_avx512_sub_decomp_combined_current.log
avx512_sub_decomp,combined_current,instructions,613439059,count,repro/stage181_sub_decomp_avx512_gate/run_avx512_sub_decomp_combined_current.log
avx512_sub_decomp,combined_current,cache-references,21666285,count,repro/stage181_sub_decomp_avx512_gate/run_avx512_sub_decomp_combined_current.log
avx512_sub_decomp,combined_current,cache-misses,2121327,count,repro/stage181_sub_decomp_avx512_gate/run_avx512_sub_decomp_combined_current.log
avx512_sub_decomp,combined_current,mem_inst_retired.all_loads,127705722,count,repro/stage181_sub_decomp_avx512_gate/run_avx512_sub_decomp_combined_current.log
avx512_sub_decomp,combined_current,mem_inst_retired.all_stores,66721089,count,repro/stage181_sub_decomp_avx512_gate/run_avx512_sub_decomp_combined_current.log
avx512_sub_decomp,combined_current,fp_arith_inst_retired.512b_packed_double,127212784,count,repro/stage181_sub_decomp_avx512_gate/run_avx512_sub_decomp_combined_current.log
