r,seed,status,points,pvw_failures,scalar_failures,pair_failures,pvw_log2_sigma_torus,scalar_log2_sigma_torus,pair_log2_sigma_torus,pvw_minus_scalar_log2,max_allowed_log2_gap,source_log
2,6866206,Pass,4096,0,0,0,-8.385,-8.350,-7.848,-0.035,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866206.log
2,6866207,Pass,4096,0,0,0,-8.361,-7.974,-7.597,-0.387,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866207.log
2,6866208,Pass,4096,0,0,0,-7.910,-8.107,-7.301,0.196,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866208.log
2,6866209,Pass,4096,0,0,0,-8.104,-7.913,-7.234,-0.191,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866209.log
2,6866210,Pass,4096,0,0,0,-8.337,-8.229,-7.746,-0.108,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866210.log
2,6866211,Pass,4096,0,0,0,-8.157,-8.038,-7.938,-0.119,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866211.log
2,6866212,Pass,4096,0,0,0,-8.264,-7.749,-7.553,-0.514,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866212.log
2,6866213,Pass,4096,0,0,0,-8.431,-8.216,-7.805,-0.215,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866213.log
2,6866214,Pass,4096,0,0,0,-8.411,-8.252,-7.781,-0.159,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866214.log
2,6866215,Pass,4096,0,0,0,-8.239,-8.311,-7.878,0.071,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866215.log
2,6866216,Pass,4096,0,0,0,-8.302,-8.098,-7.646,-0.204,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866216.log
2,6866217,Pass,4096,0,0,0,-7.957,-8.287,-7.701,0.330,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866217.log
2,6866218,Pass,4096,0,0,0,-8.248,-8.206,-8.004,-0.041,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866218.log
2,6866219,Pass,4096,0,0,0,-7.518,-8.051,-7.744,0.532,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866219.log
2,6866220,Pass,4096,0,0,0,-8.154,-8.194,-7.837,0.039,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866220.log
2,6866221,Pass,4096,0,0,0,-8.395,-8.004,-7.585,-0.391,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866221.log
2,6866222,Pass,4096,0,0,0,-8.333,-8.227,-7.807,-0.106,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866222.log
2,6866223,Pass,4096,0,0,0,-7.975,-8.165,-7.830,0.190,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866223.log
2,6866224,Pass,4096,0,0,0,-8.322,-8.102,-7.756,-0.220,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866224.log
2,6866225,Pass,4096,0,0,0,-8.308,-7.847,-7.681,-0.461,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r2/seed_6866225.log
4,6866206,Pass,8192,0,0,0,-8.419,-8.315,-7.848,-0.103,4.000,repro/stage206_current_head_highstat/final_noise_seeds20/r4/seed_6866206.log
