run,status,pvw_avg_us,pvw_stddev_us,pvw_lane_avg_us,scalar_repeated_avg_us,scalar_stddev_us,scalar_lane_avg_us,speedup_vs_scalar_repeated,speedup_stddev
0,Pass,15351743.000,0.000,7675871.500,20094627.000,0.000,10047313.500,1.309,0.000
1,Pass,15450728.000,0.000,7725364.000,19760198.000,0.000,9880099.000,1.279,0.000
2,Pass,15726544.000,0.000,7863272.000,20649069.000,0.000,10324534.500,1.313,0.000
3,Pass,15485687.000,0.000,7742843.500,19670373.000,0.000,9835186.500,1.270,0.000
4,Pass,15305828.000,0.000,7652914.000,19746922.000,0.000,9873461.000,1.290,0.000
5,Pass,15293123.000,0.000,7646561.500,19901661.000,0.000,9950830.500,1.301,0.000
6,Pass,15461838.000,0.000,7730919.000,20901552.000,0.000,10450776.000,1.352,0.000
7,Pass,15923150.000,0.000,7961575.000,19689726.000,0.000,9844863.000,1.237,0.000
8,Pass,15479753.000,0.000,7739876.500,20655039.000,0.000,10327519.500,1.334,0.000
9,Pass,15436559.000,0.000,7718279.500,20291906.000,0.000,10145953.000,1.315,0.000
