implementation,r,variant,sample,N,items,reps,calls,total_ns,per_call_us,sink,status,evidence
baseline,2,torus_to_dft_rows,0,2048,128,8,1024,8505660,8.306308594,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_torus_to_dft_rows_0.log
baseline,2,torus_to_dft_rows,1,2048,128,8,1024,7808735,7.625717773,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_torus_to_dft_rows_1.log
baseline,2,torus_to_dft_rows,2,2048,128,8,1024,7551768,7.374773438,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_torus_to_dft_rows_2.log
baseline,2,torus_to_dft_rows,3,2048,128,8,1024,8844387,8.637096680,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_torus_to_dft_rows_3.log
baseline,2,torus_to_dft_rows,4,2048,128,8,1024,8290448,8.096140625,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_torus_to_dft_rows_4.log
baseline,2,torus_to_dft_rows,5,2048,128,8,1024,7582022,7.404318359,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_torus_to_dft_rows_5.log
baseline,2,torus_to_dft_rows,6,2048,128,8,1024,8293582,8.099201172,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_torus_to_dft_rows_6.log
baseline,2,torus_to_dft_rows,7,2048,128,8,1024,8178483,7.986799805,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_torus_to_dft_rows_7.log
baseline,2,torus_to_dft_rows,8,2048,128,8,1024,9647237,9.421129883,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_torus_to_dft_rows_8.log
baseline,2,torus_to_dft_rows,9,2048,128,8,1024,8240806,8.047662109,2942057726651775669,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_torus_to_dft_rows_9.log
baseline,2,combined_current,0,2048,128,8,1024,13275225,12.964086914,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_combined_current_0.log
baseline,2,combined_current,1,2048,128,8,1024,14948434,14.598080078,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_combined_current_1.log
baseline,2,combined_current,2,2048,128,8,1024,16324047,15.941452148,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_combined_current_2.log
baseline,2,combined_current,3,2048,128,8,1024,14939237,14.589098633,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_combined_current_3.log
baseline,2,combined_current,4,2048,128,8,1024,14142366,13.810904297,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_combined_current_4.log
baseline,2,combined_current,5,2048,128,8,1024,17369175,16.962084961,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_combined_current_5.log
baseline,2,combined_current,6,2048,128,8,1024,14667834,14.324056641,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_combined_current_6.log
baseline,2,combined_current,7,2048,128,8,1024,14117712,13.786828125,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_combined_current_7.log
baseline,2,combined_current,8,2048,128,8,1024,16861324,16.466136719,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_combined_current_8.log
baseline,2,combined_current,9,2048,128,8,1024,13854153,13.529446289,9305093283185742531,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r2_combined_current_9.log
baseline,4,torus_to_dft_rows,0,2048,128,8,1024,14490039,14.150428711,4562030954040261711,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r4_torus_to_dft_rows_0.log
baseline,4,torus_to_dft_rows,1,2048,128,8,1024,13317763,13.005627930,4562030954040261711,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r4_torus_to_dft_rows_1.log
baseline,4,torus_to_dft_rows,2,2048,128,8,1024,14308227,13.972877930,4562030954040261711,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r4_torus_to_dft_rows_2.log
baseline,4,torus_to_dft_rows,3,2048,128,8,1024,13197124,12.887816406,4562030954040261711,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r4_torus_to_dft_rows_3.log
baseline,4,torus_to_dft_rows,4,2048,128,8,1024,13241684,12.931332031,4562030954040261711,PASS,repro/stage213_dft_wrapper_integration_preflight/run_baseline_r4_torus_to_dft_rows_4.log
