run,status,pvw_avg_us,pvw_stddev_us,pvw_lane_avg_us,scalar_repeated_avg_us,scalar_stddev_us,scalar_lane_avg_us,speedup_vs_scalar_repeated,speedup_stddev
0,Pass,33411925.000,0.000,8352981.250,46485118.000,0.000,11621279.500,1.391,0.000
1,Pass,30379305.000,0.000,7594826.250,41416153.000,0.000,10354038.250,1.363,0.000
2,Pass,30979418.000,0.000,7744854.500,42361901.000,0.000,10590475.250,1.367,0.000
3,Pass,30881561.000,0.000,7720390.250,42452369.000,0.000,10613092.250,1.375,0.000
4,Pass,31070802.000,0.000,7767700.500,41391957.000,0.000,10347989.250,1.332,0.000
5,Pass,31102944.000,0.000,7775736.000,41470122.000,0.000,10367530.500,1.333,0.000
6,Pass,30850675.000,0.000,7712668.750,41746811.000,0.000,10436702.750,1.353,0.000
7,Pass,30822018.000,0.000,7705504.500,41403644.000,0.000,10350911.000,1.343,0.000
8,Pass,31352315.000,0.000,7838078.750,42343733.000,0.000,10585933.250,1.351,0.000
9,Pass,30836959.000,0.000,7709239.750,42163649.000,0.000,10540912.250,1.367,0.000
