r,seed,status,points,pvw_failures,scalar_failures,pair_failures,pvw_log2_sigma_torus,scalar_log2_sigma_torus,pair_log2_sigma_torus,pvw_minus_scalar_log2,max_allowed_log2_gap,source_log
2,6863025,Pass,8192,0,0,0,-7.703,-7.688,-7.190,-0.015,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863025.log
2,6863026,Pass,8192,0,0,0,-7.878,-7.745,-7.332,-0.133,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863026.log
2,6863027,Pass,8192,0,0,0,-7.826,-7.660,-7.342,-0.166,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863027.log
2,6863028,Pass,8192,0,0,0,-7.834,-7.555,-7.171,-0.279,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863028.log
2,6863029,Pass,8192,0,0,0,-7.752,-7.447,-6.940,-0.305,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863029.log
2,6863030,Pass,8192,0,0,0,-7.620,-7.584,-7.067,-0.037,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863030.log
2,6863031,Pass,8192,0,0,0,-7.332,-7.886,-7.248,0.554,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863031.log
2,6863032,Pass,8192,0,0,0,-7.696,-7.884,-7.304,0.188,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863032.log
2,6863033,Pass,8192,0,0,0,-7.212,-7.472,-6.514,0.260,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863033.log
2,6863034,Pass,8192,0,0,0,-8.017,-7.791,-7.387,-0.226,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863034.log
2,6863035,Pass,8192,0,0,0,-7.196,-7.418,-6.868,0.223,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863035.log
2,6863036,Pass,8192,0,0,0,-7.499,-7.487,-7.194,-0.013,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863036.log
2,6863037,Pass,8192,0,0,0,-8.006,-7.896,-7.545,-0.110,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863037.log
2,6863038,Pass,8192,0,0,0,-7.807,-7.416,-7.058,-0.391,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863038.log
2,6863039,Pass,8192,0,0,0,-7.748,-7.612,-7.460,-0.136,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863039.log
2,6863040,Pass,8192,0,0,0,-7.945,-7.412,-7.161,-0.533,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863040.log
2,6863041,Pass,8192,0,0,0,-7.102,-7.771,-6.729,0.669,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863041.log
2,6863042,Pass,8192,0,0,0,-7.934,-7.502,-7.092,-0.432,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863042.log
2,6863043,Pass,8192,0,0,0,-7.801,-7.562,-7.199,-0.239,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863043.log
2,6863044,Pass,8192,0,0,0,-7.679,-7.916,-7.291,0.236,4.000,repro/stage235_set_2_3_4096_r2_runs10_seeds20/noise_SET_2_3_4096_r2_seeds20/r2/seed_6863044.log
