r,seed,status,points,pvw_failures,scalar_failures,pair_failures,pvw_log2_sigma_torus,scalar_log2_sigma_torus,pair_log2_sigma_torus,pvw_minus_scalar_log2,max_allowed_log2_gap,source_log
2,6862025,Pass,4096,0,0,0,-7.704,-8.307,-7.285,0.603,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862025.log
2,6862026,Pass,4096,0,0,0,-8.002,-8.292,-7.594,0.290,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862026.log
2,6862027,Pass,4096,0,0,0,-8.284,-8.287,-7.727,0.004,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862027.log
2,6862028,Pass,4096,0,0,0,-8.291,-8.152,-7.721,-0.139,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862028.log
2,6862029,Pass,4096,0,0,0,-8.057,-8.178,-7.531,0.121,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862029.log
2,6862030,Pass,4096,0,0,0,-7.721,-8.340,-7.421,0.619,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862030.log
2,6862031,Pass,4096,0,0,0,-8.153,-8.102,-7.529,-0.051,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862031.log
2,6862032,Pass,4096,0,0,0,-8.097,-8.198,-7.781,0.101,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862032.log
2,6862033,Pass,4096,0,0,0,-7.640,-8.232,-7.356,0.593,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862033.log
2,6862034,Pass,4096,0,0,0,-8.269,-8.204,-7.822,-0.064,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862034.log
2,6862035,Pass,4096,0,0,0,-8.183,-8.270,-7.738,0.087,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862035.log
2,6862036,Pass,4096,0,0,0,-7.943,-8.006,-7.341,0.064,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862036.log
2,6862037,Pass,4096,0,0,0,-8.434,-8.092,-7.865,-0.342,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862037.log
2,6862038,Pass,4096,0,0,0,-8.273,-7.873,-7.536,-0.399,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862038.log
2,6862039,Pass,4096,0,0,0,-8.444,-8.153,-7.721,-0.291,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862039.log
2,6862040,Pass,4096,0,0,0,-8.344,-8.351,-7.971,0.007,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862040.log
2,6862041,Pass,4096,0,0,0,-8.104,-8.129,-7.616,0.025,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862041.log
2,6862042,Pass,4096,0,0,0,-7.627,-7.836,-7.271,0.209,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862042.log
2,6862043,Pass,4096,0,0,0,-8.188,-7.785,-7.438,-0.403,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862043.log
2,6862044,Pass,4096,0,0,0,-8.326,-8.050,-7.613,-0.276,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862044.log
2,6862045,Pass,4096,0,0,0,-8.158,-8.152,-7.876,-0.007,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862045.log
2,6862046,Pass,4096,0,0,0,-7.786,-8.319,-7.665,0.533,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862046.log
2,6862047,Pass,4096,0,0,0,-8.380,-8.347,-7.857,-0.033,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862047.log
2,6862048,Pass,4096,0,0,0,-8.276,-8.159,-7.707,-0.117,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862048.log
2,6862049,Pass,4096,0,0,0,-8.246,-8.191,-7.707,-0.055,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862049.log
2,6862050,Pass,4096,0,0,0,-8.372,-8.349,-7.839,-0.024,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862050.log
2,6862051,Pass,4096,0,0,0,-8.240,-8.044,-7.703,-0.196,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862051.log
2,6862052,Pass,4096,0,0,0,-8.518,-8.400,-7.929,-0.118,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862052.log
2,6862053,Pass,4096,0,0,0,-8.102,-8.263,-7.692,0.162,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862053.log
2,6862054,Pass,4096,0,0,0,-8.359,-8.245,-7.817,-0.114,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862054.log
2,6862055,Pass,4096,0,0,0,-8.033,-7.833,-7.449,-0.200,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862055.log
2,6862056,Pass,4096,0,0,0,-8.115,-8.339,-7.806,0.224,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862056.log
2,6862057,Pass,4096,0,0,0,-8.238,-7.974,-7.816,-0.265,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862057.log
2,6862058,Pass,4096,0,0,0,-8.175,-8.272,-7.744,0.097,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862058.log
2,6862059,Pass,4096,0,0,0,-8.293,-8.306,-7.762,0.013,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862059.log
2,6862060,Pass,4096,0,0,0,-8.308,-8.205,-7.717,-0.103,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862060.log
2,6862061,Pass,4096,0,0,0,-8.227,-8.216,-7.680,-0.011,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862061.log
2,6862062,Pass,4096,0,0,0,-8.115,-8.193,-7.755,0.079,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862062.log
2,6862063,Pass,4096,0,0,0,-8.072,-7.797,-7.344,-0.274,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862063.log
2,6862064,Pass,4096,0,0,0,-8.411,-8.027,-7.607,-0.384,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862064.log
2,6862065,Pass,4096,0,0,0,-7.747,-8.181,-7.475,0.434,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862065.log
2,6862066,Pass,4096,0,0,0,-7.854,-8.013,-7.505,0.158,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862066.log
2,6862067,Pass,4096,0,0,0,-7.894,-7.817,-7.444,-0.077,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862067.log
2,6862068,Pass,4096,0,0,0,-8.432,-8.146,-7.678,-0.286,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862068.log
2,6862069,Pass,4096,0,0,0,-7.922,-8.211,-7.481,0.289,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862069.log
2,6862070,Pass,4096,0,0,0,-8.229,-7.783,-7.361,-0.446,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862070.log
2,6862071,Pass,4096,0,0,0,-8.473,-8.165,-7.756,-0.308,4.000,repro/stage25_final_noise_avx512_r2_r4_seeds50/r2/seed_6862071.log
