mode,stage,r,trials,points,pair_failures,pair_log2_sigma_torus,pair_log2_max_abs_torus,evidence
include_zero,blind_rotate_coeff0,1,3,48,0,-12.945,-12.306,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
include_zero,extract,1,3,48,0,-12.945,-12.306,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
include_zero,materialize_tlwe,1,3,48,0,-12.945,-12.306,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
include_zero,packing_ks,1,3,48,0,-12.945,-12.307,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
include_zero,hw_ks,1,3,48,0,-11.283,-9.922,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
include_zero,blind_rotate_coeff0,2,3,96,0,-13.112,-12.500,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
include_zero,extract,2,3,96,0,-13.112,-12.500,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
include_zero,materialize_tlwe,2,3,96,0,-13.112,-12.500,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
include_zero,packing_ks,2,3,96,0,-13.111,-12.501,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
include_zero,hw_ks,2,3,96,0,-11.627,-10.198,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
include_zero,blind_rotate_coeff0,4,3,192,0,-13.072,-12.275,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
include_zero,extract,4,3,192,0,-13.072,-12.275,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
include_zero,materialize_tlwe,4,3,192,0,-13.072,-12.275,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
include_zero,packing_ks,4,3,192,0,-13.072,-12.275,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
include_zero,hw_ks,4,3,192,0,-11.634,-9.651,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
ternary,blind_rotate_coeff0,1,3,48,0,-12.978,-12.494,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
ternary,extract,1,3,48,0,-12.978,-12.494,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
ternary,materialize_tlwe,1,3,48,0,-12.978,-12.494,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
ternary,packing_ks,1,3,48,0,-12.978,-12.493,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
ternary,hw_ks,1,3,48,0,-11.491,-10.213,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
ternary,blind_rotate_coeff0,2,3,96,0,-13.032,-12.348,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
ternary,extract,2,3,96,0,-13.032,-12.348,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
ternary,materialize_tlwe,2,3,96,0,-13.032,-12.348,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
ternary,packing_ks,2,3,96,0,-13.032,-12.348,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
ternary,hw_ks,2,3,96,0,-11.481,-10.143,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
ternary,blind_rotate_coeff0,4,3,192,0,-13.085,-12.519,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
ternary,extract,4,3,192,0,-13.085,-12.519,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
ternary,materialize_tlwe,4,3,192,0,-13.085,-12.519,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
ternary,packing_ks,4,3,192,0,-13.084,-12.518,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
ternary,hw_ks,4,3,192,0,-11.438,-10.106,repro/stage260_nonbinary_full_sab_noise_resource/run_ffnt_nonbinary_full_noise.log
