platform,backend,param,mode,r,rep,pvw_us,pvw_lane_us,scalar_repeated_us,scalar_lane_us,speedup,log
WSL2/Linux,spqlios_avx512,SET_2_3,include_zero,1,0,10529176,10529176.000,10779733,10779733.000,1.024,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r1_include_zero_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,include_zero,1,1,10779342,10779342.000,10629919,10629919.000,0.986,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r1_include_zero_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,include_zero,1,2,10804712,10804712.000,10696970,10696970.000,0.990,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r1_include_zero_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,ternary,1,0,10784284,10784284.000,10665103,10665103.000,0.989,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r1_ternary_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,ternary,1,1,10619330,10619330.000,10847844,10847844.000,1.022,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r1_ternary_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,ternary,1,2,10559425,10559425.000,10717033,10717033.000,1.015,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r1_ternary_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,include_zero,2,0,16850398,8425199.000,21260572,10630286.000,1.262,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r2_include_zero_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,include_zero,2,1,16587750,8293875.000,21249701,10624850.500,1.281,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r2_include_zero_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,include_zero,2,2,16596511,8298255.500,21130066,10565033.000,1.273,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r2_include_zero_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,ternary,2,0,16561528,8280764.000,21028753,10514376.500,1.270,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r2_ternary_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,ternary,2,1,16494167,8247083.500,21364778,10682389.000,1.295,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r2_ternary_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,ternary,2,2,16385324,8192662.000,21339099,10669549.500,1.302,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r2_ternary_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,include_zero,4,0,31037056,7759264.000,42737790,10684447.500,1.377,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r4_include_zero_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,include_zero,4,1,30883232,7720808.000,42256976,10564244.000,1.368,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r4_include_zero_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,include_zero,4,2,31081036,7770259.000,42169059,10542264.750,1.357,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r4_include_zero_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,ternary,4,0,31276550,7819137.500,42713645,10678411.250,1.366,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r4_ternary_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,ternary,4,1,31399421,7849855.250,42867319,10716829.750,1.365,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r4_ternary_reps3_run.log
WSL2/Linux,spqlios_avx512,SET_2_3,ternary,4,2,31656417,7914104.250,43109061,10777265.250,1.362,repro/stage262_nonbinary_target_repeated_stats/raw/wsl_spqlios_avx512_r4_ternary_reps3_run.log
