r,component,share_pvw_max,hypothetical_component_reduction,full_pvw_speedup_ceiling
2,cmux_add,0.139899,0.25,1.036242
2,cmux_add,0.139899,0.50,1.075210
2,cmux_add,0.139899,1.00,1.162654
2,cmux_sub,0.144285,0.25,1.037421
2,cmux_sub,0.144285,0.50,1.077752
2,cmux_sub,0.144285,1.00,1.168613
2,from_dft,0.229705,0.25,1.060925
2,from_dft,0.229705,0.50,1.129755
2,from_dft,0.229705,1.00,1.298204
2,mat_ep,0.357728,0.25,1.098216
2,mat_ep,0.357728,0.50,1.217825
2,mat_ep,0.357728,1.00,1.556973
2,materialization_lifecycle,0.513889,0.25,1.147410
2,materialization_lifecycle,0.513889,0.50,1.345794
2,materialization_lifecycle,0.513889,1.00,2.057143
2,ncmux_auto,0.006447,0.25,1.001614
2,ncmux_auto,0.006447,0.50,1.003234
2,ncmux_auto,0.006447,1.00,1.006489
2,postproc_residual,0.010466,0.25,1.002623
2,postproc_residual,0.010466,0.50,1.005261
2,postproc_residual,0.010466,1.00,1.010577
2,sub_a,0.115727,0.25,1.029794
2,sub_a,0.115727,0.50,1.061417
2,sub_a,0.115727,1.00,1.130872
4,cmux_add,0.129761,0.25,1.033528
4,cmux_add,0.129761,0.50,1.069382
4,cmux_add,0.129761,1.00,1.149110
4,cmux_sub,0.125383,0.25,1.032360
4,cmux_sub,0.125383,0.50,1.066885
4,cmux_sub,0.125383,1.00,1.143358
4,from_dft,0.205794,0.25,1.054239
4,from_dft,0.205794,0.50,1.114699
4,from_dft,0.205794,1.00,1.259119
4,mat_ep,0.414869,0.25,1.115719
4,mat_ep,0.414869,0.50,1.261725
4,mat_ep,0.414869,1.00,1.709019
4,materialization_lifecycle,0.460938,0.25,1.130243
4,materialization_lifecycle,0.460938,0.50,1.299493
4,materialization_lifecycle,0.460938,1.00,1.855074
4,ncmux_auto,0.005323,0.25,1.001333
4,ncmux_auto,0.005323,0.50,1.002669
4,ncmux_auto,0.005323,1.00,1.005351
4,postproc_residual,0.009362,0.25,1.002346
4,postproc_residual,0.009362,0.50,1.004703
4,postproc_residual,0.009362,1.00,1.009450
4,sub_a,0.120180,0.25,1.030976
4,sub_a,0.120180,0.50,1.063932
4,sub_a,0.120180,1.00,1.136596
