r,component,rows,share_body_min,share_body_max,share_pvw_min,share_pvw_max
2,cmux_add,2,0.139759,0.141289,0.138296,0.139899
2,cmux_sub,2,0.144319,0.145719,0.142809,0.144285
2,from_dft,2,0.226120,0.231988,0.223753,0.229705
2,mat_ep,2,0.357140,0.361283,0.353402,0.357728
2,materialization_lifecycle,2,0.510198,0.518995,0.504858,0.513889
2,ncmux_auto,2,0.006223,0.006511,0.006158,0.006447
2,postproc_residual,2,0.009936,0.010577,0.009839,0.010466
2,sub_a,2,0.103446,0.116951,0.102429,0.115727
4,cmux_add,2,0.123440,0.130874,0.122284,0.129761
4,cmux_sub,2,0.121523,0.126459,0.120385,0.125383
4,from_dft,2,0.205030,0.207560,0.203111,0.205794
4,mat_ep,2,0.415161,0.418790,0.411629,0.414869
4,materialization_lifecycle,2,0.449993,0.464893,0.445780,0.460938
4,ncmux_auto,2,0.005267,0.005368,0.005218,0.005323
4,postproc_residual,2,0.008581,0.009450,0.008508,0.009362
4,sub_a,2,0.110166,0.121316,0.109229,0.120180
