mode,r,component,component_us,share_of_body,share_of_pvw,source
include_zero,2,mat_ep,5901160.000,0.361283,0.357728,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_include_zero_profile_run.log
include_zero,2,from_dft,3789263.000,0.231988,0.229705,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_include_zero_profile_run.log
include_zero,2,cmux_add,2307797.000,0.141289,0.139899,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_include_zero_profile_run.log
include_zero,2,cmux_sub,2380153.000,0.145719,0.144285,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_include_zero_profile_run.log
include_zero,2,materialization_lifecycle,8477213.000,0.518995,0.513889,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_include_zero_profile_run.log
include_zero,2,sub_a,1689683.000,0.103446,0.102429,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_include_zero_profile_run.log
include_zero,2,ncmux_auto,106345.000,0.006511,0.006447,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_include_zero_profile_run.log
include_zero,2,postproc_residual,162300.000,0.009936,0.009839,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_include_zero_profile_run.log
ternary,2,mat_ep,6015874.000,0.357140,0.353402,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_ternary_profile_run.log
ternary,2,from_dft,3808889.000,0.226120,0.223753,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_ternary_profile_run.log
ternary,2,cmux_add,2354172.000,0.139759,0.138296,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_ternary_profile_run.log
ternary,2,cmux_sub,2430999.000,0.144319,0.142809,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_ternary_profile_run.log
ternary,2,materialization_lifecycle,8594060.000,0.510198,0.504858,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_ternary_profile_run.log
ternary,2,sub_a,1969987.000,0.116951,0.115727,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_ternary_profile_run.log
ternary,2,ncmux_auto,104832.000,0.006223,0.006158,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_ternary_profile_run.log
ternary,2,postproc_residual,178165.000,0.010577,0.010466,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r2_ternary_profile_run.log
include_zero,4,mat_ep,12756487.000,0.415161,0.411629,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_include_zero_profile_run.log
include_zero,4,from_dft,6377600.000,0.207560,0.205794,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_include_zero_profile_run.log
include_zero,4,cmux_add,4021322.000,0.130874,0.129761,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_include_zero_profile_run.log
include_zero,4,cmux_sub,3885667.000,0.126459,0.125383,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_include_zero_profile_run.log
include_zero,4,materialization_lifecycle,14284589.000,0.464893,0.460938,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_include_zero_profile_run.log
include_zero,4,sub_a,3385032.000,0.110166,0.109229,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_include_zero_profile_run.log
include_zero,4,ncmux_auto,164955.000,0.005368,0.005323,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_include_zero_profile_run.log
include_zero,4,postproc_residual,263663.000,0.008581,0.008508,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_include_zero_profile_run.log
ternary,4,mat_ep,13272454.000,0.418790,0.414869,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_ternary_profile_run.log
ternary,4,from_dft,6497907.000,0.205030,0.203111,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_ternary_profile_run.log
ternary,4,cmux_add,3912104.000,0.123440,0.122284,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_ternary_profile_run.log
ternary,4,cmux_sub,3851359.000,0.121523,0.120385,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_ternary_profile_run.log
ternary,4,materialization_lifecycle,14261370.000,0.449993,0.445780,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_ternary_profile_run.log
ternary,4,sub_a,3844789.000,0.121316,0.120180,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_ternary_profile_run.log
ternary,4,ncmux_auto,166920.000,0.005267,0.005218,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_ternary_profile_run.log
ternary,4,postproc_residual,299502.000,0.009450,0.009362,repro/stage263_nonbinary_profile_attribution/raw/wsl_spqlios_avx512_r4_ternary_profile_run.log
