variant,component,component_us,calls,share_of_body,share_of_pvw,source_log
default,setup_tv_xb,14844.000,1,0.000482,0.000478,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
default,rgsw_monomial,27416704.000,40,0.890272,0.882757,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
default,cmux_total,27221720.000,573440,0.883941,0.876479,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
default,ncmux_total,419806.000,5080,0.013632,0.013517,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
default,cmux_sub,3897428.000,573440,0.126557,0.125488,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
default,cmux_from_dft,6399399.000,573440,0.207801,0.206046,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
default,cmux_add,3987752.000,573440,0.129490,0.128397,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
default,ncmux_auto,164299.000,5080,0.005335,0.005290,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
default,mat_ep,12840056.000,573440,0.416941,0.413421,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
default,sub_a_total,3364257.000,39,0.109244,0.108322,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
default,sub_a_rotate,0.000,0,0.000000,0.000000,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
default,sub_a_mul_minus_1,496836.000,79872,0.016133,0.015997,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
default,sub_a_copy,0.000,0,0.000000,0.000000,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
default,sub_a_mat_ep,1778873.000,79872,0.057763,0.057276,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
default,sub_a_from_dft,882342.000,79872,0.028651,0.028409,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
default,sub_a_add,195291.000,79872,0.006341,0.006288,repro/stage279_native_access_residual_profile/raw/local_default_include_zero_body_profile_run.log
include_zero_coeff_one_fast,setup_tv_xb,15010.000,1,0.000534,0.000529,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,rgsw_monomial,27413204.000,40,0.976161,0.966843,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,cmux_total,27214770.000,573440,0.969095,0.959844,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,ncmux_total,422829.000,5080,0.015057,0.014913,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,cmux_sub,3906004.000,573440,0.139090,0.137762,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,cmux_from_dft,6401719.000,573440,0.227960,0.225784,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,cmux_add,3982495.000,573440,0.141813,0.140460,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,ncmux_auto,166937.000,5080,0.005944,0.005888,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,mat_ep,12827058.000,573440,0.456761,0.452401,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,sub_a_total,654392.000,39,0.023302,0.023080,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,sub_a_rotate,530520.000,79872,0.018891,0.018711,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,sub_a_mul_minus_1,0.000,0,0.000000,0.000000,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,sub_a_copy,119400.000,79872,0.004252,0.004211,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,sub_a_mat_ep,0.000,0,0.000000,0.000000,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,sub_a_from_dft,0.000,0,0.000000,0.000000,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,sub_a_add,0.000,0,0.000000,0.000000,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
