variant,component,component_us,calls,share_of_body,share_of_pvw,source_log
include_zero_coeff_one_fast,rgsw_monomial,27413204.000,40,0.976161,0.966843,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,cmux_total,27214770.000,573440,0.969095,0.959844,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,mat_ep,12827058.000,573440,0.456761,0.452401,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,cmux_from_dft,6401719.000,573440,0.227960,0.225784,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,cmux_add,3982495.000,573440,0.141813,0.140460,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,cmux_sub,3906004.000,573440,0.139090,0.137762,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,sub_a_total,654392.000,39,0.023302,0.023080,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,sub_a_rotate,530520.000,79872,0.018891,0.018711,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,ncmux_total,422829.000,5080,0.015057,0.014913,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
include_zero_coeff_one_fast,ncmux_auto,166937.000,5080,0.005944,0.005888,repro/stage279_native_access_residual_profile/raw/local_include_zero_coeff_one_fast_include_zero_body_profile_run.log
