variant,profile,status,correctness,mode,r,h,r_prec,reps,pvw_avg_us,pvw_lane_avg_us,scalar_repeated_avg_us,scalar_lane_avg_us,speedup_vs_scalar_repeated,t_bootstrap_over_r_pvw_us,t_bootstrap_over_r_scalar_us,extra_flags,source_build_log,source_run_log
fast_control,false,pass,Pass,include_zero,4,39,7,1,28309891.000,7077472.750,41770064.000,10442516.000,1.475,7077472.750,10442516.000,,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_build.log,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_run.log
backend_from_dft_add,false,pass,Pass,include_zero,4,39,7,1,27625892.000,6906473.000,42346911.000,10586727.750,1.533,6906473.000,10586727.750,SAB_PVW_BACKEND_FROM_DFT_ADD=true,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_build.log,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_run.log
sub_decomp_avx,false,pass,Pass,include_zero,4,39,7,1,27778666.000,6944666.500,41997864.000,10499466.000,1.512,6944666.500,10499466.000,SAB_PVW_SUB_DECOMP_FUSION=true MAT_TRGSW_AVX512_SUB_DECOMP=true,repro/stage280_cmux_mat_ep_residual_screen/raw/sub_decomp_avx_build.log,repro/stage280_cmux_mat_ep_residual_screen/raw/sub_decomp_avx_run.log
backend_sub_decomp_avx,false,pass,Pass,include_zero,4,39,7,1,26885493.000,6721373.250,42518243.000,10629560.750,1.581,6721373.250,10629560.750,SAB_PVW_BACKEND_FROM_DFT_ADD=true SAB_PVW_SUB_DECOMP_FUSION=true MAT_TRGSW_AVX512_SUB_DECOMP=true,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_build.log,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_run.log
backend_sub_decomp_dual,false,pass,Pass,include_zero,4,39,7,1,26501410.000,6625352.500,42254963.000,10563740.750,1.594,6625352.500,10563740.750,SAB_PVW_BACKEND_FROM_DFT_ADD=true SAB_PVW_SUB_DECOMP_FUSION=true MAT_TRGSW_AVX512_SUB_DECOMP=true SAB_PVW_DUAL_SUB_CMUX=true,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_build.log,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_run.log
fast_control,true,pass,Pass,include_zero,4,39,7,1,28809216.000,7202304.000,42064456.000,10516114.000,1.460,7202304.000,10516114.000,,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_profile_build.log,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_profile_run.log
backend_from_dft_add,true,pass,Pass,include_zero,4,39,7,1,27888301.000,6972075.250,42726084.000,10681521.000,1.532,6972075.250,10681521.000,SAB_PVW_BACKEND_FROM_DFT_ADD=true,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_profile_build.log,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_profile_run.log
sub_decomp_avx,true,pass,Pass,include_zero,4,39,7,1,27666515.000,6916628.750,42359828.000,10589957.000,1.531,6916628.750,10589957.000,SAB_PVW_SUB_DECOMP_FUSION=true MAT_TRGSW_AVX512_SUB_DECOMP=true,repro/stage280_cmux_mat_ep_residual_screen/raw/sub_decomp_avx_profile_build.log,repro/stage280_cmux_mat_ep_residual_screen/raw/sub_decomp_avx_profile_run.log
backend_sub_decomp_avx,true,pass,Pass,include_zero,4,39,7,1,26714612.000,6678653.000,42431316.000,10607829.000,1.588,6678653.000,10607829.000,SAB_PVW_BACKEND_FROM_DFT_ADD=true SAB_PVW_SUB_DECOMP_FUSION=true MAT_TRGSW_AVX512_SUB_DECOMP=true,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_profile_build.log,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_avx_profile_run.log
backend_sub_decomp_dual,true,pass,Pass,include_zero,4,39,7,1,26257069.000,6564267.250,42549789.000,10637447.250,1.621,6564267.250,10637447.250,SAB_PVW_BACKEND_FROM_DFT_ADD=true SAB_PVW_SUB_DECOMP_FUSION=true MAT_TRGSW_AVX512_SUB_DECOMP=true SAB_PVW_DUAL_SUB_CMUX=true,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_profile_build.log,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_sub_decomp_dual_profile_run.log
