variant,component,component_us,calls,share_of_profile_full,full_us,source_run_log
fast_control,rgsw_monomial,27818471.000,40,0.976217,28496189.000,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_profile_run.log
fast_control,cmux_total,27622819.000,573440,0.969351,28496189.000,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_profile_run.log
fast_control,mat_ep,13211633.000,573440,0.463628,28496189.000,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_profile_run.log
fast_control,cmux_from_dft,6432727.000,573440,0.225740,28496189.000,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_profile_run.log
fast_control,cmux_add,3969727.000,573440,0.139307,28496189.000,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_profile_run.log
fast_control,cmux_sub,3911424.000,573440,0.137261,28496189.000,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_profile_run.log
fast_control,ncmux_total,430930.000,5080,0.015122,28496189.000,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_profile_run.log
fast_control,ncmux_auto,165895.000,5080,0.005822,28496189.000,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_profile_run.log
fast_control,dual_sub_pair,0.000,0,0.000000,28496189.000,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_profile_run.log
fast_control,sub_a_total,651957.000,39,0.022879,28496189.000,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_profile_run.log
fast_control,sub_a_rotate,527840.000,79872,0.018523,28496189.000,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_profile_run.log
fast_control,copyback,0.000,0,0.000000,28496189.000,repro/stage280_cmux_mat_ep_residual_screen/raw/fast_control_profile_run.log
backend_from_dft_add,rgsw_monomial,26931750.000,40,0.975285,27614234.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_profile_run.log
backend_from_dft_add,cmux_total,26732865.000,573440,0.968083,27614234.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_profile_run.log
backend_from_dft_add,mat_ep,12878588.000,573440,0.466375,27614234.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_profile_run.log
backend_from_dft_add,cmux_from_dft,9450331.000,573440,0.342227,27614234.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_profile_run.log
backend_from_dft_add,cmux_add,0.000,573440,0.000000,27614234.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_profile_run.log
backend_from_dft_add,cmux_sub,4330589.000,573440,0.156825,27614234.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_profile_run.log
backend_from_dft_add,ncmux_total,419601.000,5080,0.015195,27614234.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_profile_run.log
backend_from_dft_add,ncmux_auto,166810.000,5080,0.006041,27614234.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_profile_run.log
backend_from_dft_add,dual_sub_pair,0.000,0,0.000000,27614234.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_profile_run.log
backend_from_dft_add,sub_a_total,661803.000,39,0.023966,27614234.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_profile_run.log
backend_from_dft_add,sub_a_rotate,534858.000,79872,0.019369,27614234.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_profile_run.log
backend_from_dft_add,copyback,0.000,0,0.000000,27614234.000,repro/stage280_cmux_mat_ep_residual_screen/raw/backend_from_dft_add_profile_run.log
sub_decomp_avx,rgsw_monomial,26711243.000,40,0.975666,27377450.000,repro/stage280_cmux_mat_ep_residual_screen/raw/sub_decomp_avx_profile_run.log
sub_decomp_avx,cmux_total,26514203.000,573440,0.968469,27377450.000,repro/stage280_cmux_mat_ep_residual_screen/raw/sub_decomp_avx_profile_run.log
sub_decomp_avx,mat_ep,16011274.000,573440,0.584834,27377450.000,repro/stage280_cmux_mat_ep_residual_screen/raw/sub_decomp_avx_profile_run.log
sub_decomp_avx,cmux_from_dft,6393079.000,573440,0.233516,27377450.000,repro/stage280_cmux_mat_ep_residual_screen/raw/sub_decomp_avx_profile_run.log
sub_decomp_avx,cmux_add,4022434.000,573440,0.146925,27377450.000,repro/stage280_cmux_mat_ep_residual_screen/raw/sub_decomp_avx_profile_run.log
sub_decomp_avx,cmux_sub,0.000,573440,0.000000,27377450.000,repro/stage280_cmux_mat_ep_residual_screen/raw/sub_decomp_avx_profile_run.log
sub_decomp_avx,ncmux_total,411683.000,5080,0.015037,27377450.000,repro/stage280_cmux_mat_ep_residual_screen/raw/sub_decomp_avx_profile_run.log
sub_decomp_avx,ncmux_auto,164792.000,5080,0.006019,27377450.000,repro/stage280_cmux_mat_ep_residual_screen/raw/sub_decomp_avx_profile_run.log
sub_decomp_avx,dual_sub_pair,0.000,0,0.000000,27377450.000,repro/stage280_cmux_mat_ep_residual_screen/raw/sub_decomp_avx_profile_run.log
sub_decomp_avx,sub_a_total,644875.000,39,0.023555,27377450.000,repro/stage280_cmux_mat_ep_residual_screen/raw/sub_decomp_avx_profile_run.log
sub_decomp_avx,sub_a_rotate,520798.000,79872,0.019023,27377450.000,repro/stage280_cmux_mat_ep_residual_screen/raw/sub_decomp_avx_profile_run.log
