variant,run,status,r,N,reps,max_abs_diff,separate_avg_us,sub_avg_us,speedup_vs_separate,checksum,source_log
baseline_sub_decomp,0,Pass,4,2048,5000,0,30.269,27.616,1.096,-8.1449512340601952e+30,repro/stage291_sub_decomp_dft_direct_microbench/raw/baseline_sub_decomp/run_0.log
baseline_sub_decomp,1,Pass,4,2048,5000,0,27.864,24.792,1.124,4.2881062208604647e+29,repro/stage291_sub_decomp_dft_direct_microbench/raw/baseline_sub_decomp/run_1.log
baseline_sub_decomp,2,Pass,4,2048,5000,0,26.914,26.753,1.006,-1.7566977774276445e+31,repro/stage291_sub_decomp_dft_direct_microbench/raw/baseline_sub_decomp/run_2.log
baseline_sub_decomp,3,Pass,4,2048,5000,0,28.638,25.882,1.107,7.9071421405811823e+30,repro/stage291_sub_decomp_dft_direct_microbench/raw/baseline_sub_decomp/run_3.log
baseline_sub_decomp,4,Pass,4,2048,5000,0,25.951,21.783,1.191,1.5084479644112066e+31,repro/stage291_sub_decomp_dft_direct_microbench/raw/baseline_sub_decomp/run_4.log
direct_sub_decomp_dft,0,Pass,4,2048,5000,0,25.908,17.174,1.509,8.4452431664181216e+30,repro/stage291_sub_decomp_dft_direct_microbench/raw/direct_sub_decomp_dft/run_0.log
direct_sub_decomp_dft,1,Pass,4,2048,5000,0,24.160,17.751,1.361,6.172577207480308e+30,repro/stage291_sub_decomp_dft_direct_microbench/raw/direct_sub_decomp_dft/run_1.log
direct_sub_decomp_dft,2,Pass,4,2048,5000,0,22.970,17.291,1.328,-1.9213242372027367e+31,repro/stage291_sub_decomp_dft_direct_microbench/raw/direct_sub_decomp_dft/run_2.log
direct_sub_decomp_dft,3,Pass,4,2048,5000,0,26.339,21.591,1.220,-1.427090020197582e+31,repro/stage291_sub_decomp_dft_direct_microbench/raw/direct_sub_decomp_dft/run_3.log
direct_sub_decomp_dft,4,Pass,4,2048,5000,0,25.329,19.625,1.291,-2.9216246442306722e+30,repro/stage291_sub_decomp_dft_direct_microbench/raw/direct_sub_decomp_dft/run_4.log
