variant,status,mode,stage,r,lane,trials,points,pair_failures,pair_log2_sigma_torus,pair_log2_max_abs_torus,source_run_log
direct_dft,pass,include_zero,blind_rotate_coeff0,4,0,3,6144,0,-15.040,-13.084,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,blind_rotate_coeff0,4,1,3,6144,0,-15.016,-13.030,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,blind_rotate_coeff0,4,2,3,6144,0,-15.173,-13.202,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,blind_rotate_coeff0,4,3,3,6144,0,-15.145,-13.073,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,extract,4,0,3,6144,0,-15.040,-13.084,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,extract,4,1,3,6144,0,-15.016,-13.030,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,extract,4,2,3,6144,0,-15.173,-13.202,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,extract,4,3,3,6144,0,-15.145,-13.073,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,materialize_tlwe,4,0,3,6144,0,-15.040,-13.084,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,materialize_tlwe,4,1,3,6144,0,-15.016,-13.030,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,materialize_tlwe,4,2,3,6144,0,-15.173,-13.202,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,materialize_tlwe,4,3,3,6144,0,-15.145,-13.073,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,packing_ks,4,0,3,6144,0,-15.038,-13.080,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,packing_ks,4,1,3,6144,0,-15.016,-13.014,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,packing_ks,4,2,3,6144,0,-15.170,-13.230,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,packing_ks,4,3,3,6144,0,-15.144,-13.055,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,hw_ks,4,0,3,6144,0,-8.087,-6.003,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,hw_ks,4,1,3,6144,0,-8.063,-6.033,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,hw_ks,4,2,3,6144,0,-8.082,-6.107,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
direct_dft,pass,include_zero,hw_ks,4,3,3,6144,0,-8.073,-6.154,repro/stage298_direct_dft_target_stage_noise/raw/direct_dft/run.log
