variant,metric,value,evidence,raw
direct_dft,cycles,577942108123,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_direct_dft.log,"577942108123,,cycles,64689529234,39.00,,"
direct_dft,instructions,1118421167650,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_direct_dft.log,"1118421167650,,instructions,80861106376,49.00,1.94,insn per cycle"
direct_dft,cache-references,13255467841,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_direct_dft.log,"13255467841,,cache-references,80865120189,50.00,,"
direct_dft,cache-misses,8463019919,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_direct_dft.log,"8463019919,,cache-misses,80864034732,49.00,63.85,of all cache refs"
direct_dft,branches,67002277716,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_direct_dft.log,"67002277716,,branches,80862704816,49.00,,"
direct_dft,branch-misses,345187253,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_direct_dft.log,"345187253,,branch-misses,80868125976,50.00,0.52,of all branches"
direct_dft,mem_inst_retired.all_loads,255713356630,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_direct_dft.log,"255713356630,,mem_inst_retired.all_loads,64690889427,39.00,,"
direct_dft,mem_inst_retired.all_stores,144318786919,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_direct_dft.log,"144318786919,,mem_inst_retired.all_stores,64691013962,39.00,,"
direct_dft,fp_arith_inst_retired.512b_packed_double,254957531078,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_direct_dft.log,"254957531078,,fp_arith_inst_retired.512b_packed_double,64694507558,40.00,,"
direct_dft,fp_arith_inst_retired.256b_packed_double,50378295926,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_direct_dft.log,"50378295926,,fp_arith_inst_retired.256b_packed_double,64690924578,39.00,,"
selected_control,cycles,604236527680,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_selected_control.log,"604236527680,,cycles,67663335924,39.00,,"
selected_control,instructions,1146326517166,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_selected_control.log,"1146326517166,,instructions,84581421237,50.00,1.90,insn per cycle"
selected_control,cache-references,16075435235,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_selected_control.log,"16075435235,,cache-references,84584618247,50.00,,"
selected_control,cache-misses,8640886707,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_selected_control.log,"8640886707,,cache-misses,84582411089,50.00,53.75,of all cache refs"
selected_control,branches,69768889537,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_selected_control.log,"69768889537,,branches,84578780352,49.00,,"
selected_control,branch-misses,330551865,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_selected_control.log,"330551865,,branch-misses,84584219389,50.00,0.47,of all branches"
selected_control,mem_inst_retired.all_loads,265653827215,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_selected_control.log,"265653827215,,mem_inst_retired.all_loads,67663396308,39.00,,"
selected_control,mem_inst_retired.all_stores,147180859447,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_selected_control.log,"147180859447,,mem_inst_retired.all_stores,67662026943,39.00,,"
selected_control,fp_arith_inst_retired.512b_packed_double,255019548495,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_selected_control.log,"255019548495,,fp_arith_inst_retired.512b_packed_double,67666753591,40.00,,"
selected_control,fp_arith_inst_retired.256b_packed_double,50408061939,repro/stage301_current_head_direct_dft_native_counter/native_perf_raw/perf_selected_control.log,"50408061939,,fp_arith_inst_retired.256b_packed_double,67661592373,39.00,,"
