variant,outer_run,inner_rep,correctness,mode,r,h,r_prec,pvw_us,pvw_lane_us,scalar_repeated_us,scalar_lane_us,speedup_vs_repeated_scalar,source_log
perf_selected_control,0,0,Pass,include_zero,4,42,7,28102402,7025600.500,45987158,11496789.500,1.636,repro/stage303_param_matrix_highstat/raw/perf_selected_control/run_0.log
perf_selected_control,1,0,Pass,include_zero,4,42,7,28543113,7135778.250,45950703,11487675.750,1.610,repro/stage303_param_matrix_highstat/raw/perf_selected_control/run_1.log
perf_selected_control,2,0,Pass,include_zero,4,42,7,29302554,7325638.500,45792977,11448244.250,1.563,repro/stage303_param_matrix_highstat/raw/perf_selected_control/run_2.log
perf_selected_control,3,0,Pass,include_zero,4,42,7,28473728,7118432.000,46455083,11613770.750,1.632,repro/stage303_param_matrix_highstat/raw/perf_selected_control/run_3.log
perf_selected_control,4,0,Pass,include_zero,4,42,7,28666664,7166666.000,46309927,11577481.750,1.615,repro/stage303_param_matrix_highstat/raw/perf_selected_control/run_4.log
perf_selected_control,5,0,Pass,include_zero,4,42,7,28844160,7211040.000,46555004,11638751.000,1.614,repro/stage303_param_matrix_highstat/raw/perf_selected_control/run_5.log
perf_selected_control,6,0,Pass,include_zero,4,42,7,28574575,7143643.750,46506878,11626719.500,1.628,repro/stage303_param_matrix_highstat/raw/perf_selected_control/run_6.log
perf_selected_control,7,0,Pass,include_zero,4,42,7,28666340,7166585.000,47219080,11804770.000,1.647,repro/stage303_param_matrix_highstat/raw/perf_selected_control/run_7.log
perf_selected_control,8,0,Pass,include_zero,4,42,7,29070595,7267648.750,46759255,11689813.750,1.608,repro/stage303_param_matrix_highstat/raw/perf_selected_control/run_8.log
perf_selected_control,9,0,Pass,include_zero,4,42,7,28666796,7166699.000,45708497,11427124.250,1.594,repro/stage303_param_matrix_highstat/raw/perf_selected_control/run_9.log
perf_direct_dft,0,0,Pass,include_zero,4,42,7,26792098,6698024.500,46306787,11576696.750,1.728,repro/stage303_param_matrix_highstat/raw/perf_direct_dft/run_0.log
perf_direct_dft,1,0,Pass,include_zero,4,42,7,26877182,6719295.500,46190425,11547606.250,1.719,repro/stage303_param_matrix_highstat/raw/perf_direct_dft/run_1.log
perf_direct_dft,2,0,Pass,include_zero,4,42,7,26779641,6694910.250,46524494,11631123.500,1.737,repro/stage303_param_matrix_highstat/raw/perf_direct_dft/run_2.log
perf_direct_dft,3,0,Pass,include_zero,4,42,7,26747944,6686986.000,46210822,11552705.500,1.728,repro/stage303_param_matrix_highstat/raw/perf_direct_dft/run_3.log
perf_direct_dft,4,0,Pass,include_zero,4,42,7,26785714,6696428.500,45864421,11466105.250,1.712,repro/stage303_param_matrix_highstat/raw/perf_direct_dft/run_4.log
perf_direct_dft,5,0,Pass,include_zero,4,42,7,26811480,6702870.000,46388775,11597193.750,1.730,repro/stage303_param_matrix_highstat/raw/perf_direct_dft/run_5.log
perf_direct_dft,6,0,Pass,include_zero,4,42,7,26694724,6673681.000,46322162,11580540.500,1.735,repro/stage303_param_matrix_highstat/raw/perf_direct_dft/run_6.log
perf_direct_dft,7,0,Pass,include_zero,4,42,7,26887823,6721955.750,46637321,11659330.250,1.735,repro/stage303_param_matrix_highstat/raw/perf_direct_dft/run_7.log
perf_direct_dft,8,0,Pass,include_zero,4,42,7,26793544,6698386.000,47530429,11882607.250,1.774,repro/stage303_param_matrix_highstat/raw/perf_direct_dft/run_8.log
perf_direct_dft,9,0,Pass,include_zero,4,42,7,26856067,6714016.750,46242146,11560536.500,1.722,repro/stage303_param_matrix_highstat/raw/perf_direct_dft/run_9.log
