case,param,r,mode,h,r_prec,outer_log,inner_rep,correctness,pvw_us,pvw_lane_us,scalar_repeated_us,scalar_lane_us,speedup_vs_repeated_scalar,source_log
SET_2_3_4096_r2,SET_2_3_4096,2,include_zero,32,8,run_0.log,0,Pass,29533024,14766512.000,47483744,23741872.000,1.608,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r2/perf/run_0.log
SET_2_3_4096_r2,SET_2_3_4096,2,include_zero,32,8,run_1.log,0,Pass,29215079,14607539.500,47748206,23874103.000,1.634,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r2/perf/run_1.log
SET_2_3_4096_r2,SET_2_3_4096,2,include_zero,32,8,run_2.log,0,Pass,28177785,14088892.500,44636244,22318122.000,1.584,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r2/perf/run_2.log
SET_2_3_4096_r2,SET_2_3_4096,2,include_zero,32,8,run_3.log,0,Pass,27240952,13620476.000,43850425,21925212.500,1.610,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r2/perf/run_3.log
SET_2_3_4096_r2,SET_2_3_4096,2,include_zero,32,8,run_4.log,0,Pass,27328836,13664418.000,44439377,22219688.500,1.626,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r2/perf/run_4.log
SET_2_3_4096_r2,SET_2_3_4096,2,include_zero,32,8,run_5.log,0,Pass,27174026,13587013.000,44361115,22180557.500,1.632,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r2/perf/run_5.log
SET_2_3_4096_r2,SET_2_3_4096,2,include_zero,32,8,run_6.log,0,Pass,25734775,12867387.500,41471094,20735547.000,1.611,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r2/perf/run_6.log
SET_2_3_4096_r2,SET_2_3_4096,2,include_zero,32,8,run_7.log,0,Pass,25116477,12558238.500,40179442,20089721.000,1.600,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r2/perf/run_7.log
SET_2_3_4096_r2,SET_2_3_4096,2,include_zero,32,8,run_8.log,0,Pass,27094989,13547494.500,43424759,21712379.500,1.603,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r2/perf/run_8.log
SET_2_3_4096_r2,SET_2_3_4096,2,include_zero,32,8,run_9.log,0,Pass,24604408,12302204.000,39689790,19844895.000,1.613,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r2/perf/run_9.log
SET_2_3_4096_r4,SET_2_3_4096,4,include_zero,32,8,run_0.log,0,Pass,46639768,11659942.000,78159007,19539751.750,1.676,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r4/perf/run_0.log
SET_2_3_4096_r4,SET_2_3_4096,4,include_zero,32,8,run_1.log,0,Pass,46391515,11597878.750,80709236,20177309.000,1.740,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r4/perf/run_1.log
SET_2_3_4096_r4,SET_2_3_4096,4,include_zero,32,8,run_2.log,0,Pass,46950453,11737613.250,77420106,19355026.500,1.649,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r4/perf/run_2.log
SET_2_3_4096_r4,SET_2_3_4096,4,include_zero,32,8,run_3.log,0,Pass,46970034,11742508.500,76745290,19186322.500,1.634,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r4/perf/run_3.log
SET_2_3_4096_r4,SET_2_3_4096,4,include_zero,32,8,run_4.log,0,Pass,47053641,11763410.250,77970351,19492587.750,1.657,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r4/perf/run_4.log
SET_2_3_4096_r4,SET_2_3_4096,4,include_zero,32,8,run_5.log,0,Pass,52834678,13208669.500,75077484,18769371.000,1.421,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r4/perf/run_5.log
SET_2_3_4096_r4,SET_2_3_4096,4,include_zero,32,8,run_6.log,0,Pass,51229337,12807334.250,82391426,20597856.500,1.608,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r4/perf/run_6.log
SET_2_3_4096_r4,SET_2_3_4096,4,include_zero,32,8,run_7.log,0,Pass,45005227,11251306.750,73032548,18258137.000,1.623,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r4/perf/run_7.log
SET_2_3_4096_r4,SET_2_3_4096,4,include_zero,32,8,run_8.log,0,Pass,44021208,11005302.000,72347902,18086975.500,1.643,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r4/perf/run_8.log
SET_2_3_4096_r4,SET_2_3_4096,4,include_zero,32,8,run_9.log,0,Pass,43055081,10763770.250,75572146,18893036.500,1.755,repro/stage344_added_parameter_topups/raw/SET_2_3_4096_r4/perf/run_9.log
SET_4_5_2048_r2,SET_4_5_2048,2,include_zero,42,7,run_0.log,0,Pass,14103573,7051786.500,23558155,11779077.500,1.670,repro/stage344_added_parameter_topups/raw/SET_4_5_2048_r2/perf/run_0.log
SET_4_5_2048_r2,SET_4_5_2048,2,include_zero,42,7,run_1.log,0,Pass,13870444,6935222.000,23592532,11796266.000,1.701,repro/stage344_added_parameter_topups/raw/SET_4_5_2048_r2/perf/run_1.log
SET_4_5_2048_r2,SET_4_5_2048,2,include_zero,42,7,run_2.log,0,Pass,14133762,7066881.000,24252699,12126349.500,1.716,repro/stage344_added_parameter_topups/raw/SET_4_5_2048_r2/perf/run_2.log
SET_4_5_2048_r2,SET_4_5_2048,2,include_zero,42,7,run_3.log,0,Pass,14951763,7475881.500,24051689,12025844.500,1.609,repro/stage344_added_parameter_topups/raw/SET_4_5_2048_r2/perf/run_3.log
SET_4_5_2048_r2,SET_4_5_2048,2,include_zero,42,7,run_4.log,0,Pass,14206862,7103431.000,23964791,11982395.500,1.687,repro/stage344_added_parameter_topups/raw/SET_4_5_2048_r2/perf/run_4.log
SET_4_5_2048_r2,SET_4_5_2048,2,include_zero,42,7,run_5.log,0,Pass,14197391,7098695.500,24341131,12170565.500,1.714,repro/stage344_added_parameter_topups/raw/SET_4_5_2048_r2/perf/run_5.log
SET_4_5_2048_r2,SET_4_5_2048,2,include_zero,42,7,run_6.log,0,Pass,14301029,7150514.500,25158613,12579306.500,1.759,repro/stage344_added_parameter_topups/raw/SET_4_5_2048_r2/perf/run_6.log
SET_4_5_2048_r2,SET_4_5_2048,2,include_zero,42,7,run_7.log,0,Pass,13930677,6965338.500,25017458,12508729.000,1.796,repro/stage344_added_parameter_topups/raw/SET_4_5_2048_r2/perf/run_7.log
SET_4_5_2048_r2,SET_4_5_2048,2,include_zero,42,7,run_8.log,0,Pass,14363611,7181805.500,24170213,12085106.500,1.683,repro/stage344_added_parameter_topups/raw/SET_4_5_2048_r2/perf/run_8.log
SET_4_5_2048_r2,SET_4_5_2048,2,include_zero,42,7,run_9.log,0,Pass,14300566,7150283.000,25193199,12596599.500,1.762,repro/stage344_added_parameter_topups/raw/SET_4_5_2048_r2/perf/run_9.log
SET_4_5_2048_r4,SET_4_5_2048,4,include_zero,42,7,run_0.log,0,Pass,28647809,7161952.250,48643862,12160965.500,1.698,repro/stage344_added_parameter_topups/raw/SET_4_5_2048_r4/perf/run_0.log
