set,side,N,h,density,log2_sigma,baseline_bits,gap_279_bits,adjusted_bits,uplift_log2sigma_conservative,uplift_log2sigma_optimistic,sq_q_floor_noise,sq_max_absorb_bits,sq_q_recommended,sq_absorbs_full_gap,stock_absorbs_full_gap
SET_2_3_2048,input,2048,39,0.019,-15,128.0,15.0,113.0,30.0,15.0,13,20,13,optimistic_only,NO (fixed Bg=23 operand scale)
SET_2_3_2048,output,2048,512,0.25,-50,128.0,9.2,118.8,18.4,9.2,13,20,13,yes,NO (fixed Bg=23 operand scale)
SET_2_3_4096,input,4096,32,0.0078,-15,128.0,15.0,113.0,30.0,15.0,13,20,13,optimistic_only,NO (fixed Bg=23 operand scale)
SET_2_3_4096,output,2048,512,0.25,-50,128.0,9.2,118.8,18.4,9.2,13,20,13,yes,NO (fixed Bg=23 operand scale)
SET_2_3_8192,input,8192,25,0.0031,-15,128.0,15.0,113.0,30.0,15.0,13,20,13,optimistic_only,NO (fixed Bg=23 operand scale)
SET_2_3_8192,output,2048,512,0.25,-50,128.0,9.2,118.8,18.4,9.2,13,20,13,yes,NO (fixed Bg=23 operand scale)
SET_4_5_2048,input,2048,42,0.0205,-17,128.0,15.0,113.0,30.0,15.0,15,16,15,optimistic_only,NO (fixed Bg=23 operand scale)
SET_4_5_2048,output,2048,512,0.25,-50,128.0,9.2,118.8,18.4,9.2,15,16,15,optimistic_only,NO (fixed Bg=23 operand scale)
SET_4_5_4096,input,4096,34,0.0083,-18,128.0,15.0,113.0,30.0,15.0,15,16,15,optimistic_only,NO (fixed Bg=23 operand scale)
SET_4_5_4096,output,2048,512,0.25,-50,128.0,9.2,118.8,18.4,9.2,15,16,15,optimistic_only,NO (fixed Bg=23 operand scale)
SET_4_5_8192,input,8192,26,0.0032,-18,128.0,15.0,113.0,30.0,15.0,15,16,15,optimistic_only,NO (fixed Bg=23 operand scale)
SET_4_5_8192,output,2048,512,0.25,-50,128.0,9.2,118.8,18.4,9.2,15,16,15,optimistic_only,NO (fixed Bg=23 operand scale)
SET_6_7_4096,input,4096,33,0.0081,-21,128.0,15.0,113.0,30.0,15.0,17,12,17,NO,NO (fixed Bg=23 operand scale)
SET_6_7_4096,output,2048,512,0.25,-50,128.0,9.2,118.8,18.4,9.2,17,12,17,optimistic_only,NO (fixed Bg=23 operand scale)
SET_6_7_8192,input,8192,27,0.0033,-21,128.0,15.0,113.0,30.0,15.0,17,12,17,NO,NO (fixed Bg=23 operand scale)
SET_6_7_8192,output,2048,512,0.25,-50,128.0,9.2,118.8,18.4,9.2,17,12,17,optimistic_only,NO (fixed Bg=23 operand scale)
SET_8_9_4096,input,4096,34,0.0083,-24,128.0,15.0,113.0,30.0,15.0,19,8,19,NO,NO (fixed Bg=23 operand scale)
SET_8_9_4096,output,8192,512,0.0625,-51,128.0,14.6,113.4,29.3,14.6,19,8,19,NO,NO (fixed Bg=23 operand scale)
SET_8_9_8192,input,8192,28,0.0034,-24,128.0,15.0,113.0,30.0,15.0,19,8,19,NO,NO (fixed Bg=23 operand scale)
SET_8_9_8192,output,8192,512,0.0625,-51,128.0,14.6,113.4,29.3,14.6,19,8,19,NO,NO (fixed Bg=23 operand scale)
SET_8_9_HIGH_FR,input,8192,28,0.0034,-22,128.0,15.0,113.0,30.0,15.0,19,8,19,NO,NO (fixed Bg=23 operand scale)
SET_8_9_HIGH_FR,output,4096,512,0.125,-50,128.0,12.8,115.2,25.7,12.8,19,8,19,NO,NO (fixed Bg=23 operand scale)
