r,seed,status,points,pvw_failures,scalar_failures,pair_failures,pvw_log2_sigma_torus,scalar_log2_sigma_torus,pair_log2_sigma_torus,pvw_minus_scalar_log2,max_allowed_log2_gap,source_log
2,6863025,Pass,4096,0,0,0,-10.310,-10.159,-9.679,-0.151,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863025.log
2,6863026,Pass,4096,0,0,0,-10.062,-9.886,-9.405,-0.175,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863026.log
2,6863027,Pass,4096,0,0,0,-9.639,-10.103,-9.174,0.464,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863027.log
2,6863028,Pass,4096,0,0,0,-9.744,-9.929,-9.307,0.185,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863028.log
2,6863029,Pass,4096,0,0,0,-10.030,-9.834,-9.301,-0.196,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863029.log
2,6863030,Pass,4096,0,0,0,-9.860,-9.858,-9.850,-0.003,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863030.log
2,6863031,Pass,4096,0,0,0,-9.968,-10.216,-9.594,0.247,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863031.log
2,6863032,Pass,4096,0,0,0,-10.373,-10.101,-9.664,-0.273,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863032.log
2,6863033,Pass,4096,0,0,0,-10.270,-10.088,-9.628,-0.182,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863033.log
2,6863034,Pass,4096,0,0,0,-10.007,-10.002,-9.671,-0.005,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863034.log
2,6863035,Pass,4096,0,0,0,-9.976,-9.949,-9.370,-0.027,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863035.log
2,6863036,Pass,4096,0,0,0,-9.775,-9.895,-9.245,0.121,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863036.log
2,6863037,Pass,4096,0,0,0,-10.004,-10.146,-9.465,0.142,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863037.log
2,6863038,Pass,4096,0,0,0,-10.152,-9.945,-9.447,-0.207,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863038.log
2,6863039,Pass,4096,0,0,0,-10.045,-10.125,-9.671,0.079,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863039.log
2,6863040,Pass,4096,0,0,0,-10.049,-9.928,-9.582,-0.121,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863040.log
2,6863041,Pass,4096,0,0,0,-10.322,-9.974,-9.607,-0.348,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863041.log
2,6863042,Pass,4096,0,0,0,-10.316,-10.008,-9.667,-0.308,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863042.log
2,6863043,Pass,4096,0,0,0,-9.921,-9.960,-9.686,0.039,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863043.log
2,6863044,Pass,4096,0,0,0,-10.178,-9.943,-9.346,-0.235,4.000,repro/stage36_added_params_runs10_seeds20/noise_SET_4_5_2048_r2_seeds20/r2/seed_6863044.log
