run,status,pvw_avg_us,pvw_stddev_us,pvw_lane_avg_us,scalar_repeated_avg_us,scalar_stddev_us,scalar_lane_avg_us,speedup_vs_scalar_repeated,speedup_stddev
0,Pass,14903545.000,0.000,7451772.500,18025776.000,0.000,9012888.000,1.209,0.000
1,Pass,14518646.000,0.000,7259323.000,18016896.000,0.000,9008448.000,1.241,0.000
2,Pass,14734857.000,0.000,7367428.500,18660232.000,0.000,9330116.000,1.266,0.000
3,Pass,14042784.000,0.000,7021392.000,18900430.000,0.000,9450215.000,1.346,0.000
4,Pass,14260500.000,0.000,7130250.000,18235070.000,0.000,9117535.000,1.279,0.000
5,Pass,14387746.000,0.000,7193873.000,18671276.000,0.000,9335638.000,1.298,0.000
6,Pass,14316359.000,0.000,7158179.500,18156854.000,0.000,9078427.000,1.268,0.000
7,Pass,14339766.000,0.000,7169883.000,18959736.000,0.000,9479868.000,1.322,0.000
8,Pass,14592324.000,0.000,7296162.000,19379775.000,0.000,9689887.500,1.328,0.000
9,Pass,14365195.000,0.000,7182597.500,18677783.000,0.000,9338891.500,1.300,0.000
