r,seed,stage,trials,points,pair_failures,pair_log2_sigma_torus,pair_log2_max_abs_torus,source_log
2,6864025,blind_rotate_coeff0,1,4096,0,-15.053,-13.028,repro/stage36_stage_noise_seeds10/r2/seed_6864025.log
2,6864025,extract,1,4096,0,-15.053,-13.028,repro/stage36_stage_noise_seeds10/r2/seed_6864025.log
2,6864025,materialize_tlwe,1,4096,0,-15.053,-13.028,repro/stage36_stage_noise_seeds10/r2/seed_6864025.log
2,6864025,packing_ks,1,4096,0,-15.052,-13.033,repro/stage36_stage_noise_seeds10/r2/seed_6864025.log
2,6864025,hw_ks,1,4096,0,-8.077,-5.992,repro/stage36_stage_noise_seeds10/r2/seed_6864025.log
2,6864026,blind_rotate_coeff0,1,4096,0,-14.572,-12.676,repro/stage36_stage_noise_seeds10/r2/seed_6864026.log
2,6864026,extract,1,4096,0,-14.572,-12.676,repro/stage36_stage_noise_seeds10/r2/seed_6864026.log
2,6864026,materialize_tlwe,1,4096,0,-14.572,-12.676,repro/stage36_stage_noise_seeds10/r2/seed_6864026.log
2,6864026,packing_ks,1,4096,0,-14.572,-12.684,repro/stage36_stage_noise_seeds10/r2/seed_6864026.log
2,6864026,hw_ks,1,4096,0,-8.075,-6.158,repro/stage36_stage_noise_seeds10/r2/seed_6864026.log
2,6864027,blind_rotate_coeff0,1,4096,0,-14.988,-13.027,repro/stage36_stage_noise_seeds10/r2/seed_6864027.log
2,6864027,extract,1,4096,0,-14.988,-13.027,repro/stage36_stage_noise_seeds10/r2/seed_6864027.log
2,6864027,materialize_tlwe,1,4096,0,-14.988,-13.027,repro/stage36_stage_noise_seeds10/r2/seed_6864027.log
2,6864027,packing_ks,1,4096,0,-14.987,-13.038,repro/stage36_stage_noise_seeds10/r2/seed_6864027.log
2,6864027,hw_ks,1,4096,0,-8.079,-6.226,repro/stage36_stage_noise_seeds10/r2/seed_6864027.log
2,6864028,blind_rotate_coeff0,1,4096,0,-15.135,-12.978,repro/stage36_stage_noise_seeds10/r2/seed_6864028.log
2,6864028,extract,1,4096,0,-15.135,-12.978,repro/stage36_stage_noise_seeds10/r2/seed_6864028.log
2,6864028,materialize_tlwe,1,4096,0,-15.135,-12.978,repro/stage36_stage_noise_seeds10/r2/seed_6864028.log
2,6864028,packing_ks,1,4096,0,-15.134,-12.972,repro/stage36_stage_noise_seeds10/r2/seed_6864028.log
2,6864028,hw_ks,1,4096,0,-8.057,-6.141,repro/stage36_stage_noise_seeds10/r2/seed_6864028.log
2,6864029,blind_rotate_coeff0,1,4096,0,-15.049,-13.274,repro/stage36_stage_noise_seeds10/r2/seed_6864029.log
