run,status,pvw_avg_us,pvw_stddev_us,pvw_lane_avg_us,scalar_repeated_avg_us,scalar_stddev_us,scalar_lane_avg_us,speedup_vs_scalar_repeated,speedup_stddev
0,Pass,13884342.000,0.000,6942171.000,16469970.000,0.000,8234985.000,1.186,0.000
1,Pass,15908492.000,0.000,7954246.000,16241476.000,0.000,8120738.000,1.021,0.000
2,Pass,15936254.000,0.000,7968127.000,16426212.000,0.000,8213106.000,1.031,0.000
3,Pass,15631912.000,0.000,7815956.000,16879288.000,0.000,8439644.000,1.080,0.000
4,Pass,15501643.000,0.000,7750821.500,16646458.000,0.000,8323229.000,1.074,0.000
5,Pass,14793820.000,0.000,7396910.000,17000792.000,0.000,8500396.000,1.149,0.000
6,Pass,14908119.000,0.000,7454059.500,16875097.000,0.000,8437548.500,1.132,0.000
7,Pass,13401149.000,0.000,6700574.500,18563944.000,0.000,9281972.000,1.385,0.000
8,Pass,13279320.000,0.000,6639660.000,19314290.000,0.000,9657145.000,1.454,0.000
9,Pass,13406117.000,0.000,6703058.500,18735114.000,0.000,9367557.000,1.398,0.000
