sample_id,source_label,r,local_run,status,pvw_avg_us,scalar_repeated_avg_us,speedup_vs_scalar_repeated,source_csv
target_r2_runs10_run_0,target_r2_runs10,2,0,Pass,13884342.000,16469970.000,1.186,repro/stage36_target_perf_r2_runs10/summary.csv
target_r2_runs10_run_1,target_r2_runs10,2,1,Pass,15908492.000,16241476.000,1.021,repro/stage36_target_perf_r2_runs10/summary.csv
target_r2_runs10_run_2,target_r2_runs10,2,2,Pass,15936254.000,16426212.000,1.031,repro/stage36_target_perf_r2_runs10/summary.csv
target_r2_runs10_run_3,target_r2_runs10,2,3,Pass,15631912.000,16879288.000,1.080,repro/stage36_target_perf_r2_runs10/summary.csv
target_r2_runs10_run_4,target_r2_runs10,2,4,Pass,15501643.000,16646458.000,1.074,repro/stage36_target_perf_r2_runs10/summary.csv
target_r2_runs10_run_5,target_r2_runs10,2,5,Pass,14793820.000,17000792.000,1.149,repro/stage36_target_perf_r2_runs10/summary.csv
target_r2_runs10_run_6,target_r2_runs10,2,6,Pass,14908119.000,16875097.000,1.132,repro/stage36_target_perf_r2_runs10/summary.csv
target_r2_runs10_run_7,target_r2_runs10,2,7,Pass,13401149.000,18563944.000,1.385,repro/stage36_target_perf_r2_runs10/summary.csv
target_r2_runs10_run_8,target_r2_runs10,2,8,Pass,13279320.000,19314290.000,1.454,repro/stage36_target_perf_r2_runs10/summary.csv
target_r2_runs10_run_9,target_r2_runs10,2,9,Pass,13406117.000,18735114.000,1.398,repro/stage36_target_perf_r2_runs10/summary.csv
target_r4_runs10_initial_run_0,target_r4_runs10_initial,4,0,Pass,27243277.000,36662164.000,1.346,repro/stage36_target_perf_r4_runs10/summary.csv
target_r4_runs10_initial_run_1,target_r4_runs10_initial,4,1,Pass,27085539.000,35732223.000,1.319,repro/stage36_target_perf_r4_runs10/summary.csv
target_r4_runs10_initial_run_2,target_r4_runs10_initial,4,2,Pass,27086085.000,35954801.000,1.327,repro/stage36_target_perf_r4_runs10/summary.csv
target_r4_runs10_initial_run_3,target_r4_runs10_initial,4,3,Pass,27706083.000,36166854.000,1.305,repro/stage36_target_perf_r4_runs10/summary.csv
target_r4_runs10_initial_run_4,target_r4_runs10_initial,4,4,Pass,25311822.000,35957379.000,1.421,repro/stage36_target_perf_r4_runs10/summary.csv
target_r4_runs10_initial_run_5,target_r4_runs10_initial,4,5,Pass,26588247.000,36689063.000,1.380,repro/stage36_target_perf_r4_runs10/summary.csv
target_r4_runs10_initial_run_6,target_r4_runs10_initial,4,6,Pass,27193927.000,36002317.000,1.324,repro/stage36_target_perf_r4_runs10/summary.csv
target_r4_runs10_initial_run_7,target_r4_runs10_initial,4,7,Pass,27127712.000,35838568.000,1.321,repro/stage36_target_perf_r4_runs10/summary.csv
target_r4_runs10_initial_run_8,target_r4_runs10_initial,4,8,Pass,27409632.000,43436321.000,1.585,repro/stage36_target_perf_r4_runs10/summary.csv
target_r4_runs10_initial_run_9,target_r4_runs10_initial,4,9,Pass,32817266.000,47145616.000,1.437,repro/stage36_target_perf_r4_runs10/summary.csv
