variant,run,kind,r,reps,scalar_repeated_avg_us,scalar_lane_avg_us,mat_avg_us,mat_lane_avg_us,speedup_vs_scalar_repeated,source_log
specialized,0,dft_output,1,1000,10.138,10.138,10.539,10.539,0.962,repro/stage65_r4_unrolled_avx512/specialized/kernel_run_0.log
specialized,0,dft_output,2,1000,19.120,9.560,11.504,5.752,1.662,repro/stage65_r4_unrolled_avx512/specialized/kernel_run_0.log
specialized,0,dft_output,4,1000,30.636,7.659,22.697,5.674,1.350,repro/stage65_r4_unrolled_avx512/specialized/kernel_run_0.log
specialized,0,full_output,1,1000,12.883,12.883,13.259,13.259,0.972,repro/stage65_r4_unrolled_avx512/specialized/kernel_run_0.log
specialized,0,full_output,2,1000,24.487,12.243,18.643,9.322,1.313,repro/stage65_r4_unrolled_avx512/specialized/kernel_run_0.log
specialized,0,full_output,4,1000,46.751,11.688,34.429,8.607,1.358,repro/stage65_r4_unrolled_avx512/specialized/kernel_run_0.log
r4_unrolled,0,dft_output,1,1000,6.722,6.722,6.892,6.892,0.975,repro/stage65_r4_unrolled_avx512/r4_unrolled/kernel_run_0.log
r4_unrolled,0,dft_output,2,1000,14.134,7.067,9.051,4.526,1.562,repro/stage65_r4_unrolled_avx512/r4_unrolled/kernel_run_0.log
r4_unrolled,0,dft_output,4,1000,36.110,9.027,24.384,6.096,1.481,repro/stage65_r4_unrolled_avx512/r4_unrolled/kernel_run_0.log
r4_unrolled,0,full_output,1,1000,12.219,12.219,11.778,11.778,1.037,repro/stage65_r4_unrolled_avx512/r4_unrolled/kernel_run_0.log
r4_unrolled,0,full_output,2,1000,24.164,12.082,19.016,9.508,1.271,repro/stage65_r4_unrolled_avx512/r4_unrolled/kernel_run_0.log
r4_unrolled,0,full_output,4,1000,49.517,12.379,34.886,8.722,1.419,repro/stage65_r4_unrolled_avx512/r4_unrolled/kernel_run_0.log
