r,seed,status,points,pvw_failures,scalar_failures,pair_failures,pvw_log2_sigma_torus,scalar_log2_sigma_torus,pair_log2_sigma_torus,pvw_minus_scalar_log2,max_allowed_log2_gap,source_log
6,6866025,Pass,12288,0,0,0,-8.077,-7.966,-7.616,-0.110,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866025.log
6,6866026,Pass,12288,0,0,0,-8.251,-8.039,-7.779,-0.212,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866026.log
6,6866027,Pass,12288,0,0,0,-8.083,-8.048,-7.562,-0.035,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866027.log
6,6866028,Pass,12288,0,0,0,-8.458,-8.242,-7.857,-0.216,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866028.log
6,6866029,Pass,12288,0,0,0,-8.368,-8.104,-7.745,-0.264,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866029.log
6,6866030,Pass,12288,0,0,0,-8.363,-8.058,-7.759,-0.305,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866030.log
6,6866031,Pass,12288,0,0,0,-8.184,-7.842,-7.435,-0.342,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866031.log
6,6866032,Pass,12288,0,0,0,-8.380,-7.988,-7.641,-0.392,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866032.log
6,6866033,Pass,12288,0,0,0,-8.384,-8.286,-7.769,-0.099,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866033.log
6,6866034,Pass,12288,0,0,0,-8.331,-8.238,-7.763,-0.093,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866034.log
6,6866035,Pass,12288,0,0,0,-8.180,-8.186,-7.688,0.005,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866035.log
6,6866036,Pass,12288,0,0,0,-8.115,-8.156,-7.740,0.041,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866036.log
6,6866037,Pass,12288,0,0,0,-7.679,-8.157,-7.532,0.478,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866037.log
6,6866038,Pass,12288,0,0,0,-8.250,-8.065,-7.660,-0.185,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866038.log
6,6866039,Pass,12288,0,0,0,-7.931,-8.045,-7.368,0.114,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866039.log
6,6866040,Pass,12288,0,0,0,-8.405,-8.080,-7.720,-0.325,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866040.log
6,6866041,Pass,12288,0,0,0,-7.993,-8.203,-7.588,0.210,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866041.log
6,6866042,Pass,12288,0,0,0,-7.952,-7.921,-7.564,-0.032,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866042.log
6,6866043,Pass,12288,0,0,0,-8.181,-8.203,-7.735,0.023,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866043.log
6,6866044,Pass,12288,0,0,0,-8.389,-7.972,-7.658,-0.417,4.000,repro/stage79_rgt4_fused_high_stat/final_noise/r6/seed_6866044.log
