run,status,pvw_avg_us,pvw_stddev_us,pvw_lane_avg_us,scalar_repeated_avg_us,scalar_stddev_us,scalar_lane_avg_us,speedup_vs_scalar_repeated,speedup_stddev
0,Pass,41816383.000,0.000,6969397.167,60928604.000,0.000,10154767.333,1.457,0.000
1,Pass,42587213.000,0.000,7097868.833,58280163.000,0.000,9713360.500,1.368,0.000
2,Pass,42459174.000,0.000,7076529.000,58884840.000,0.000,9814140.000,1.387,0.000
3,Pass,41965344.000,0.000,6994224.000,58139908.000,0.000,9689984.667,1.385,0.000
4,Pass,42983709.000,0.000,7163951.500,57896928.000,0.000,9649488.000,1.347,0.000
5,Pass,42084088.000,0.000,7014014.667,57416151.000,0.000,9569358.500,1.364,0.000
6,Pass,45239571.000,0.000,7539928.500,60242523.000,0.000,10040420.500,1.332,0.000
7,Pass,44894400.000,0.000,7482400.000,58976997.000,0.000,9829499.500,1.314,0.000
8,Pass,43568739.000,0.000,7261456.500,60323103.000,0.000,10053850.500,1.385,0.000
9,Pass,44690212.000,0.000,7448368.667,59337305.000,0.000,9889550.833,1.328,0.000
