flag,expected_default,status,evidence,detail
MAT_TRGSW_AVX512_SMALLR_SPECIALIZED,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,MAT_TRGSW_AVX512_SMALLR_SPECIALIZED ?= false
MAT_TRGSW_AVX512_RGT4_FUSED,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,MAT_TRGSW_AVX512_RGT4_FUSED ?= false
SAB_PVW_KERNEL_TEST,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,SAB_PVW_KERNEL_TEST ?= false
SAB_PVW_RGT4_KERNEL_TEST,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,SAB_PVW_RGT4_KERNEL_TEST ?= false
SAB_PVW_TARGET_TEST,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,SAB_PVW_TARGET_TEST ?= false
SAB_PVW_BENCH,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,SAB_PVW_BENCH ?= false
SAB_PVW_NOISE_TEST,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,SAB_PVW_NOISE_TEST ?= false
SAB_PVW_STAGE_NOISE_TEST,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,SAB_PVW_STAGE_NOISE_TEST ?= false
SAB_PVW_RESOURCE_TEST,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,SAB_PVW_RESOURCE_TEST ?= false
SAB_PVW_POSTPROC_PROFILE,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,SAB_PVW_POSTPROC_PROFILE ?= false
SAB_PVW_BODY_PROFILE,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,SAB_PVW_BODY_PROFILE ?= false
SAB_PVW_FUSED_FROM_DFT_ADD,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,SAB_PVW_FUSED_FROM_DFT_ADD ?= false
SAB_PVW_BACKEND_FROM_DFT_ADD,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,SAB_PVW_BACKEND_FROM_DFT_ADD ?= false
SAB_PVW_ACTIVE_BUFFER_FUSION,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,SAB_PVW_ACTIVE_BUFFER_FUSION ?= false
SAB_PVW_SUBA_OUTPUT_FUSION,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,SAB_PVW_SUBA_OUTPUT_FUSION ?= false
SAB_PVW_SCHEDULE_FUSED_CMUX,false,PASS_DEFAULT_FALSE,src/mosfhet/Makefile.def,SAB_PVW_SCHEDULE_FUSED_CMUX ?= false
