path,git_status,area,insertions,deletions,guard_relevance
include/benchmark_util.h,M,other_source,5,5,record_only
include/sab.h,M,scalar_sab_api,3,1,scalar_symbol_guarded
include/sab_b.h,A,scalar_sab_api,45,0,scalar_symbol_guarded
include/sab_profile.h,A,other_source,56,0,record_only
include/sab_pvw.h,A,pvw_sab_path,49,0,explicit_pvw_mat_path
main.c,M,top_level_harness,3019,7,harness_guarded_by_smoke
src/mosfhet/Makefile.def,M,shared_mosfhet_backend,142,5,build_flag_guarded
src/mosfhet/include/mosfhet.h,M,shared_mosfhet_backend,228,1,record_only
src/mosfhet/src/bootstrap.c,M,shared_mosfhet_backend,1,2,shared_backend_symbol_guarded
src/mosfhet/src/fft/ffnt/ffnt.c,M,fft_backend,24,1,record_only
src/mosfhet/src/fft/ffnt/ffnt.h,M,fft_backend,2,0,record_only
src/mosfhet/src/fft/spqlios/fft_processor_spqlios.c,M,fft_backend,51,1,record_only
src/mosfhet/src/fft/spqlios/spqlios-fft.h,M,fft_backend,3,1,record_only
src/mosfhet/src/keyswitch.c,M,shared_mosfhet_backend,10,10,shared_backend_symbol_guarded
src/mosfhet/src/mattrgsw.c,A,pvw_mat_kernel,672,0,explicit_pvw_mat_path
src/mosfhet/src/misc.c,M,shared_mosfhet_backend,74,2,shared_backend_symbol_guarded
src/mosfhet/src/polynomial.c,M,shared_mosfhet_backend,54,4,shared_backend_symbol_guarded
src/mosfhet/src/pvwtlwe.c,A,pvw_mat_kernel,373,0,explicit_pvw_mat_path
src/mosfhet/src/pvwtmlwe.c,A,pvw_mat_kernel,1055,0,explicit_pvw_mat_path
src/mosfhet/src/trgsw.c,M,shared_mosfhet_backend,41,31,shared_backend_symbol_guarded
src/mosfhet/src/trlwe.c,M,shared_mosfhet_backend,5,3,shared_backend_symbol_guarded
src/mosfhet/test/test,D,shared_mosfhet_backend,-,-,record_only
src/sab_profile.c,A,other_source,59,0,record_only
src/sab_pvw.c,A,pvw_sab_path,768,0,explicit_pvw_mat_path
src/sparse_amortized_bootstrap.c,M,scalar_sab_impl,154,119,scalar_symbol_guarded
src/sparse_amortized_bootstrap_b.c,A,scalar_sab_impl,407,0,scalar_symbol_guarded
